,day_of_week,NEIGHBORHOOD_ID,TIME
38466,Monday,gateway-green-valley-ranch,20:00:00
34627,Wednesday,barnum-west,23:59:00
27889,Sunday,montbello,16:00:00
41951,Thursday,montbello,23:59:00
49234,Thursday,lowry-field,20:00:00
34169,Sunday,cbd,16:00:00
36866,Wednesday,lincoln-park,20:00:00
24094,Thursday,ruby-hill,20:00:00
23863,Saturday,mar-lee,23:59:00
51742,Tuesday,elyria-swansea,23:59:00
45907,Sunday,globeville,16:00:00
30659,Sunday,five-points,16:00:00
8573,Sunday,highland,04:00:00
47168,Friday,mar-lee,23:59:00
15287,Monday,baker,12:00:00
30955,Tuesday,auraria,04:00:00
40301,Wednesday,cbd,23:59:00
25390,Monday,university-hills,23:59:00
20523,Sunday,westwood,16:00:00
52245,Monday,university-hills,20:00:00
19570,Sunday,north-capitol-hill,04:00:00
35449,Sunday,west-colfax,16:00:00
24151,Monday,cbd,23:59:00
4442,Friday,northeast-park-hill,12:00:00
6747,Monday,elyria-swansea,12:00:00
47192,Tuesday,washington-virginia-vale,16:00:00
54432,Sunday,clayton,20:00:00
51799,Tuesday,marston,23:59:00
11714,Wednesday,five-points,12:00:00
11045,Friday,civic-center,08:00:00
32556,Saturday,montbello,23:59:00
32721,Friday,clayton,16:00:00
54130,Thursday,university-park,23:59:00
8747,Monday,barnum,16:00:00
36026,Friday,elyria-swansea,23:59:00
12225,Monday,ruby-hill,04:00:00
49246,Tuesday,dia,23:59:00
31881,Wednesday,harvey-park,23:59:00
32313,Saturday,city-park-west,23:59:00
7971,Friday,five-points,08:00:00
9356,Sunday,sloan-lake,12:00:00
52703,Friday,cory-merrill,23:59:00
31577,Thursday,cbd,23:59:00
37444,Tuesday,five-points,23:59:00
25851,Sunday,athmar-park,23:59:00
31015,Saturday,north-capitol-hill,04:00:00
19358,Thursday,montbello,04:00:00
51964,Wednesday,speer,23:59:00
22087,Thursday,mar-lee,23:59:00
51591,Sunday,sunnyside,20:00:00
19146,Monday,harvey-park,12:00:00
1146,Friday,elyria-swansea,04:00:00
1235,Sunday,civic-center,04:00:00
21009,Tuesday,city-park,12:00:00
11466,Sunday,five-points,04:00:00
17755,Monday,montbello,04:00:00
34043,Saturday,five-points,20:00:00
8292,Monday,north-park-hill,04:00:00
3479,Tuesday,hampden-south,12:00:00
37955,Saturday,lowry-field,23:59:00
12806,Thursday,speer,12:00:00
29611,Wednesday,lowry-field,20:00:00
42426,Friday,speer,23:59:00
22582,Saturday,highland,04:00:00
3269,Saturday,barnum,12:00:00
2681,Sunday,goldsmith,16:00:00
32035,Friday,berkeley,20:00:00
7745,Wednesday,washington-park,12:00:00
18608,Thursday,bear-valley,16:00:00
53267,Friday,speer,23:59:00
6734,Monday,hampden,04:00:00
23646,Monday,berkeley,23:59:00
20822,Saturday,mar-lee,08:00:00
51244,Sunday,ruby-hill,20:00:00
34517,Saturday,washington-virginia-vale,16:00:00
17429,Friday,university,12:00:00
25798,Sunday,south-park-hill,23:59:00
53279,Friday,north-capitol-hill,23:59:00
15879,Saturday,chaffee-park,04:00:00
10778,Tuesday,globeville,04:00:00
29377,Wednesday,mar-lee,20:00:00
36278,Friday,baker,23:59:00
35021,Friday,east-colfax,20:00:00
28782,Thursday,northeast-park-hill,16:00:00
30926,Wednesday,union-station,04:00:00
34422,Friday,barnum,23:59:00
6274,Friday,gateway-green-valley-ranch,12:00:00
41032,Friday,union-station,16:00:00
29704,Monday,university-hills,16:00:00
7623,Friday,hampden,12:00:00
36325,Wednesday,capitol-hill,23:59:00
39866,Monday,hampden-south,23:59:00
52043,Sunday,harvey-park,23:59:00
9318,Wednesday,hampden,08:00:00
25369,Monday,stapleton,20:00:00
21668,Saturday,platt-park,20:00:00
53088,Saturday,west-colfax,04:00:00
23659,Wednesday,city-park-west,16:00:00
7929,Saturday,city-park,16:00:00
20448,Saturday,west-colfax,16:00:00
27678,Saturday,windsor,23:59:00
10679,Wednesday,college-view-south-platte,04:00:00
6331,Wednesday,washington-virginia-vale,12:00:00
31322,Friday,civic-center,23:59:00
3411,Saturday,athmar-park,04:00:00
12900,Tuesday,east-colfax,08:00:00
6692,Friday,west-colfax,16:00:00
34971,Tuesday,college-view-south-platte,23:59:00
7591,Saturday,university-hills,12:00:00
40336,Tuesday,valverde,16:00:00
35407,Monday,windsor,20:00:00
47047,Thursday,hampden,20:00:00
41725,Thursday,civic-center,20:00:00
21604,Tuesday,gateway-green-valley-ranch,20:00:00
37380,Saturday,cbd,20:00:00
28703,Sunday,fort-logan,23:59:00
3931,Sunday,university,16:00:00
27134,Thursday,five-points,23:59:00
25741,Sunday,villa-park,20:00:00
29667,Saturday,lowry-field,20:00:00
51241,Wednesday,five-points,20:00:00
4788,Friday,westwood,12:00:00
26099,Tuesday,hampden,23:59:00
10852,Thursday,gateway-green-valley-ranch,12:00:00
46547,Thursday,jefferson-park,04:00:00
29886,Saturday,fort-logan,16:00:00
54526,Friday,gateway-green-valley-ranch,20:00:00
24133,Sunday,union-station,04:00:00
50624,Friday,hampden,23:59:00
1103,Thursday,bear-valley,12:00:00
6790,Sunday,university-hills,04:00:00
52463,Wednesday,washington-virginia-vale,23:59:00
42735,Tuesday,montclair,23:59:00
30902,Tuesday,civic-center,23:59:00
50266,Tuesday,washington-virginia-vale,20:00:00
30385,Wednesday,marston,20:00:00
3173,Friday,mar-lee,04:00:00
19173,Monday,lincoln-park,04:00:00
10923,Saturday,montbello,04:00:00
24833,Saturday,cole,16:00:00
36685,Friday,stapleton,20:00:00
19467,Tuesday,fort-logan,08:00:00
47485,Tuesday,fort-logan,16:00:00
26355,Thursday,montbello,23:59:00
29879,Friday,montbello,04:00:00
8234,Thursday,marston,12:00:00
26692,Friday,north-capitol-hill,23:59:00
23433,Sunday,harvey-park-south,16:00:00
38978,Monday,washington-park-west,23:59:00
37030,Tuesday,auraria,20:00:00
1159,Monday,capitol-hill,04:00:00
45111,Friday,baker,23:59:00
3009,Thursday,highland,04:00:00
42379,Friday,westwood,16:00:00
11422,Thursday,kennedy,08:00:00
27893,Sunday,cbd,20:00:00
52958,Saturday,east-colfax,23:59:00
15373,Thursday,lincoln-park,12:00:00
15440,Sunday,berkeley,12:00:00
10856,Saturday,baker,04:00:00
10425,Friday,washington-park,16:00:00
8975,Sunday,union-station,08:00:00
8889,Friday,college-view-south-platte,12:00:00
37683,Wednesday,westwood,16:00:00
37641,Saturday,cheesman-park,04:00:00
6841,Thursday,union-station,08:00:00
16287,Saturday,highland,12:00:00
12957,Monday,capitol-hill,12:00:00
22450,Monday,five-points,20:00:00
42169,Tuesday,five-points,04:00:00
47314,Wednesday,hampden,20:00:00
40842,Thursday,westwood,23:59:00
8733,Tuesday,civic-center,16:00:00
30058,Friday,stapleton,16:00:00
7692,Monday,overland,04:00:00
17902,Tuesday,baker,08:00:00
30556,Saturday,stapleton,23:59:00
16792,Sunday,virginia-village,12:00:00
15095,Monday,west-highland,04:00:00
14552,Thursday,washington-virginia-vale,12:00:00
47492,Saturday,gateway-green-valley-ranch,23:59:00
44327,Tuesday,mar-lee,16:00:00
52311,Thursday,montbello,16:00:00
14431,Tuesday,stapleton,12:00:00
13403,Sunday,globeville,12:00:00
26594,Saturday,gateway-green-valley-ranch,23:59:00
49267,Monday,five-points,20:00:00
37069,Saturday,villa-park,20:00:00
38088,Sunday,union-station,16:00:00
24771,Thursday,northeast-park-hill,16:00:00
22196,Saturday,cole,23:59:00
41584,Wednesday,west-highland,20:00:00
14104,Saturday,east-colfax,12:00:00
11403,Monday,west-colfax,16:00:00
6264,Friday,south-park-hill,04:00:00
3985,Tuesday,sun-valley,08:00:00
28531,Thursday,northeast-park-hill,20:00:00
37750,Tuesday,university,23:59:00
46028,Friday,harvey-park-south,16:00:00
42664,Thursday,cheesman-park,20:00:00
31101,Wednesday,north-park-hill,23:59:00
23165,Saturday,montbello,23:59:00
36608,Tuesday,dia,04:00:00
32179,Saturday,hampden-south,23:59:00
37447,Monday,five-points,04:00:00
5341,Thursday,clayton,08:00:00
44822,Saturday,west-colfax,20:00:00
5528,Sunday,university,04:00:00
20068,Saturday,university,12:00:00
21393,Sunday,five-points,04:00:00
22673,Wednesday,auraria,23:59:00
33431,Tuesday,congress-park,23:59:00
39607,Tuesday,civic-center,20:00:00
27399,Sunday,elyria-swansea,23:59:00
36901,Monday,south-park-hill,20:00:00
44867,Sunday,jefferson-park,23:59:00
3444,Wednesday,sunnyside,04:00:00
33230,Monday,cheesman-park,16:00:00
20326,Wednesday,gateway-green-valley-ranch,12:00:00
36153,Thursday,civic-center,20:00:00
11661,Tuesday,five-points,08:00:00
44385,Monday,montbello,23:59:00
49594,Tuesday,dia,16:00:00
3207,Tuesday,south-park-hill,12:00:00
5550,Tuesday,cbd,04:00:00
23205,Wednesday,hilltop,16:00:00
6685,Thursday,five-points,16:00:00
7143,Sunday,jefferson-park,16:00:00
