,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LAT,GEO_LON
99,Monday,north-capitol-hill,04:00:00,39.7450535,-104.9812915
100,Wednesday,gateway-green-valley-ranch,04:00:00,39.7724005,-104.7365761
101,Tuesday,montbello,12:00:00,39.7963172,-104.8425906
102,Sunday,cbd,12:00:00,39.741702000000004,-104.9883004
103,Friday,congress-park,16:00:00,39.7399783,-104.9571343
104,Monday,fort-logan,04:00:00,39.6534741,-105.0438436
105,Monday,barnum,16:00:00,39.7215009,-105.0287155
106,Saturday,sloan-lake,04:00:00,39.7487512,-105.0428362
107,Wednesday,montbello,04:00:00,39.77559,-104.81835
108,Monday,west-colfax,12:00:00,39.7422237,-105.0395005
109,Sunday,montbello,08:00:00,39.782988,-104.8553009
110,Monday,harvey-park,12:00:00,39.6818535,-105.0577539
111,Thursday,whittier,12:00:00,39.7576327,-104.9727474
112,Thursday,five-points,12:00:00,39.7480841,-104.9775385
113,Saturday,barnum,04:00:00,39.7245281,-105.03126200000001
114,Friday,congress-park,12:00:00,39.7400061,-104.9460216
115,Friday,cole,08:00:00,39.7686837,-104.9712164
116,Friday,washington-virginia-vale,12:00:00,39.7005385,-104.9134909
117,Friday,cbd,16:00:00,39.7474035,-104.9932839
118,Sunday,marston,12:00:00,39.6341138,-105.1077023
119,Sunday,southmoor-park,16:00:00,39.6381233,-104.9124533
120,Monday,highland,12:00:00,39.7598782,-105.0229051
121,Monday,berkeley,08:00:00,39.777398,-105.0436135
122,Saturday,cherry-creek,08:00:00,39.7199576,-104.9525256
123,Tuesday,montclair,08:00:00,39.7277922,-104.9131493
124,Thursday,hilltop,12:00:00,39.7233359,-104.9286194
125,Thursday,villa-park,16:00:00,39.7342397,-105.0485061
126,Saturday,fort-logan,12:00:00,39.639709,-105.0481372
127,Monday,clayton,12:00:00,39.7689332,-104.94783500000001
128,Tuesday,hampden,04:00:00,39.6535444,-104.9169342
129,Friday,five-points,08:00:00,39.7546983,-104.9883656
130,Friday,five-points,12:00:00,39.7669977,-104.9747971
131,Tuesday,speer,04:00:00,39.7235815,-104.9766935
132,Tuesday,virginia-village,08:00:00,39.6788076,-104.9327337
133,Tuesday,north-park-hill,12:00:00,39.7566515,-104.9357959
134,Monday,sloan-lake,12:00:00,39.7556256,-105.038004
135,Sunday,athmar-park,12:00:00,39.7073882,-105.0101075
136,Sunday,hilltop,16:00:00,39.7209319,-104.9339182
137,Saturday,cbd,04:00:00,39.7468473,-104.9922708
138,Monday,athmar-park,12:00:00,39.7021497,-105.0113134
139,Sunday,gateway-green-valley-ranch,12:00:00,39.793012,-104.7459352
140,Monday,overland,12:00:00,39.6868214,-104.9884269
141,Wednesday,dia,12:00:00,39.8441584,-104.6769926
142,Saturday,whittier,12:00:00,39.7574525,-104.9650588
143,Tuesday,lincoln-park,12:00:00,39.7331432,-104.9968039
144,Saturday,cheesman-park,08:00:00,39.7317859,-104.9696563
145,Tuesday,civic-center,16:00:00,39.7366798,-104.9893149
146,Monday,cory-merrill,08:00:00,39.6855829,-104.9512196
147,Thursday,west-colfax,04:00:00,39.7382235,-105.0283115
148,Tuesday,gateway-green-valley-ranch,16:00:00,39.7736911,-104.8081293
149,Friday,fort-logan,12:00:00,39.6316114,-105.0350703
150,Sunday,barnum,04:00:00,39.7245281,-105.03126200000001
151,Friday,platt-park,08:00:00,39.6796242,-104.9848909
152,Sunday,harvey-park,12:00:00,39.6735658,-105.0434892
153,Friday,stapleton,12:00:00,39.7571633,-104.8898088
154,Friday,montbello,12:00:00,39.7857036,-104.8259803
155,Tuesday,baker,08:00:00,39.7201608,-104.9942379
156,Saturday,south-park-hill,04:00:00,39.7504196,-104.9072659
157,Friday,fort-logan,12:00:00,39.6316114,-105.0350703
158,Monday,civic-center,12:00:00,39.7394817,-104.9903364
159,Friday,city-park,16:00:00,39.7494371,-104.9410001
160,Friday,hampden,12:00:00,39.6595532,-104.89291599999999
161,Tuesday,montbello,04:00:00,39.7816194,-104.8290084
162,Tuesday,harvey-park,12:00:00,39.6820759,-105.04551599999999
163,Saturday,cole,12:00:00,39.768311,-104.9677045
164,Sunday,west-colfax,12:00:00,39.7402074,-105.0519774
165,Wednesday,city-park-west,12:00:00,39.7421414,-104.9606736
166,Monday,capitol-hill,12:00:00,39.7345564,-104.9865
167,Saturday,hampden-south,08:00:00,39.6373524,-104.9043852
168,Sunday,north-park-hill,04:00:00,39.7573342,-104.9402187
169,Friday,elyria-swansea,04:00:00,39.7811519,-104.9625794
170,Tuesday,westwood,16:00:00,39.70874,-105.0473941
171,Saturday,overland,12:00:00,39.6961274,-104.9876697
172,Friday,lincoln-park,12:00:00,39.7313652,-104.9983064
173,Thursday,sun-valley,04:00:00,39.7332425,-105.0246294
174,Thursday,athmar-park,12:00:00,39.7003229,-105.0110418
175,Sunday,fort-logan,16:00:00,39.6534877,-105.04380800000001
176,Friday,city-park,12:00:00,39.7421629,-104.9534297
177,Saturday,athmar-park,04:00:00,39.700448,-105.0180706
178,Friday,cbd,08:00:00,39.7433767,-104.9895826
179,Saturday,sloan-lake,12:00:00,39.752103999999996,-105.031885
180,Sunday,montbello,08:00:00,39.7785758,-104.8462296
181,Tuesday,harvey-park,12:00:00,39.6820759,-105.04551599999999
182,Sunday,cbd,04:00:00,39.7443148,-104.9913077
183,Friday,five-points,16:00:00,39.7513067,-104.98997299999999
184,Thursday,valverde,12:00:00,39.7113121,-105.0209889
185,Thursday,five-points,12:00:00,39.7512366,-104.9858657
186,Thursday,west-highland,12:00:00,39.7657174,-105.0366818
187,Thursday,dia,12:00:00,39.8492917,-104.6738123
188,Thursday,northeast-park-hill,12:00:00,39.7635372,-104.9290779
189,Saturday,montbello,08:00:00,39.7947739,-104.8235977
190,Thursday,five-points,12:00:00,39.754077,-104.9856457
191,Tuesday,berkeley,12:00:00,39.770547,-105.0285601
192,Monday,civic-center,08:00:00,39.7392456,-104.9909711
193,Tuesday,cbd,04:00:00,39.744601,-104.9959286
194,Tuesday,northeast-park-hill,04:00:00,39.7629152,-104.9043857
195,Wednesday,hampden-south,08:00:00,39.6495228,-104.9131463
196,Thursday,university-park,08:00:00,39.6817507,-104.9577729
197,Thursday,east-colfax,12:00:00,39.7450559,-104.8901915
198,Tuesday,valverde,04:00:00,39.7118275,-105.0088182
199,Tuesday,harvey-park,12:00:00,39.6820759,-105.04551599999999
200,Thursday,globeville,08:00:00,39.7786209,-104.9809755
201,Friday,washington-park-west,12:00:00,39.7008701,-104.9873862
202,Monday,northeast-park-hill,08:00:00,39.7687477,-104.9330518
203,Wednesday,harvey-park,12:00:00,39.6797111,-105.0567442
204,Thursday,capitol-hill,12:00:00,39.7366112,-104.9749642
205,Saturday,jefferson-park,16:00:00,39.7542122,-105.0162215
206,Sunday,whittier,04:00:00,39.7509291,-104.9618899
207,Friday,platt-park,08:00:00,39.6847697,-104.9831867
208,Sunday,five-points,16:00:00,39.7650872,-104.9860345
209,Monday,university-park,04:00:00,39.6782498,-104.9588374
210,Tuesday,baker,08:00:00,39.7006979,-104.9875652
211,Tuesday,west-highland,08:00:00,39.767146999999994,-105.0330225
212,Sunday,barnum,08:00:00,39.7218102,-105.0291649
213,Sunday,hampden-south,08:00:00,39.648671,-104.8824555
214,Friday,sun-valley,12:00:00,39.7336537,-105.0224613
215,Wednesday,globeville,12:00:00,39.7829683,-104.9825979
216,Friday,belcaro,08:00:00,39.7087477,-104.942419
217,Sunday,speer,04:00:00,39.7157328,-104.9873132
218,Wednesday,university,08:00:00,39.6701487,-104.9661397
219,Friday,skyland,12:00:00,39.7618244,-104.9569794
220,Sunday,cbd,12:00:00,39.7442326,-104.9907073
221,Saturday,regis,12:00:00,39.7871727,-105.0349494
222,Tuesday,lincoln-park,12:00:00,39.7313652,-104.9983064
223,Monday,five-points,12:00:00,39.7547354,-104.9880559
224,Thursday,union-station,16:00:00,39.7539157,-105.0011007
225,Tuesday,union-station,08:00:00,39.7504077,-104.99413
226,Tuesday,sun-valley,08:00:00,39.7276593,-105.02346200000001
227,Friday,windsor,12:00:00,39.7071058,-104.8877276
228,Friday,city-park,12:00:00,39.7407511,-104.9468265
229,Saturday,fort-logan,08:00:00,39.6332731,-105.0359576
230,Sunday,mar-lee,04:00:00,39.6954357,-105.0529775
231,Tuesday,cbd,12:00:00,39.746582000000004,-104.991846
232,Tuesday,south-park-hill,12:00:00,39.7496191,-104.9091327
233,Thursday,baker,08:00:00,39.70005,-104.9875628
234,Sunday,overland,04:00:00,39.6893055,-104.9965958
235,Friday,civic-center,04:00:00,39.7350087,-104.9920294
236,Wednesday,globeville,12:00:00,39.7677197,-104.9853607
237,Sunday,goldsmith,04:00:00,39.6751049,-104.9105735
238,Wednesday,west-colfax,12:00:00,39.7352016,-105.038871
239,Saturday,clayton,16:00:00,39.7726473,-104.9495455
240,Sunday,hale,08:00:00,39.7312117,-104.9313605
241,Saturday,hampden,16:00:00,39.67313,-104.8732345
242,Friday,dia,12:00:00,39.820745,-104.76910500000001
243,Thursday,university,04:00:00,39.6839288,-104.9627909
244,Tuesday,harvey-park,12:00:00,39.6760184,-105.0257204
245,Saturday,cole,04:00:00,39.7682586,-104.9682634
246,Tuesday,mar-lee,12:00:00,39.6945333,-105.0375639
247,Tuesday,regis,08:00:00,39.7884539,-105.0389192
248,Saturday,sloan-lake,08:00:00,39.7570836,-105.0256451
249,Saturday,capitol-hill,12:00:00,39.7398594,-104.9751035
250,Sunday,north-capitol-hill,04:00:00,39.7438409,-104.9814748
