,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LAT,GEO_LON
99,Wednesday,baker,08:00:00,39.7187651,-104.9978384
100,Tuesday,university,12:00:00,39.6661163,-104.9729373
101,Saturday,cory-merrill,16:00:00,39.6944791,-104.9450591
102,Friday,congress-park,04:00:00,39.7389764,-104.9577608
103,Friday,sunnyside,16:00:00,39.7740629,-104.9991428
104,Monday,dia,04:00:00,39.8367708,-104.7009023
105,Tuesday,jefferson-park,12:00:00,39.7576047,-105.0214409
106,Tuesday,dia,04:00:00,39.8367708,-104.7009023
107,Monday,hampden,16:00:00,39.666366,-104.9159894
108,Saturday,civic-center,16:00:00,39.7346773,-104.9877863
109,Monday,athmar-park,08:00:00,39.7106932,-105.0247502
110,Tuesday,university,12:00:00,39.6661163,-104.9729373
111,Saturday,college-view-south-platte,12:00:00,39.6782302,-105.024128
112,Thursday,windsor,12:00:00,39.7012056,-104.8776928
113,Thursday,harvey-park-south,12:00:00,39.6675668,-105.0504943
114,Tuesday,washington-virginia-vale,08:00:00,39.6955878,-104.9144136
115,Saturday,hale,16:00:00,39.727977,-104.9403605
116,Wednesday,five-points,08:00:00,39.7648352,-104.9849052
117,Monday,capitol-hill,12:00:00,39.7299854,-104.9827149
118,Thursday,west-highland,12:00:00,39.7692217,-105.0328522
119,Monday,ruby-hill,08:00:00,39.6955903,-105.0013056
120,Monday,east-colfax,08:00:00,39.7397556,-104.8861269
121,Saturday,dia,12:00:00,39.8372774,-104.6914599
122,Friday,dia,12:00:00,39.8362105,-104.6972302
123,Monday,college-view-south-platte,08:00:00,39.6779741,-105.0033599
124,Monday,west-colfax,16:00:00,39.7405706,-105.0345116
125,Friday,lowry-field,08:00:00,39.7273172,-104.9027645
126,Tuesday,north-capitol-hill,08:00:00,39.7403627,-104.9796265
127,Monday,overland,12:00:00,39.6762331,-104.9897795
128,Friday,east-colfax,12:00:00,39.7365507,-104.8943831
129,Tuesday,virginia-village,12:00:00,39.6787706,-104.9189701
130,Wednesday,baker,08:00:00,39.7205859,-104.9877932
131,Thursday,regis,12:00:00,39.7858472,-105.0260909
132,Monday,cherry-creek,08:00:00,39.7160881,-104.9463776
133,Tuesday,highland,08:00:00,39.7600516,-105.0116497
134,Monday,dia,12:00:00,39.8373592,-104.7112189
135,Tuesday,city-park-west,08:00:00,39.741382,-104.9663336
136,Tuesday,cbd,12:00:00,39.7475548,-104.9876602
137,Saturday,northeast-park-hill,16:00:00,39.7701881,-104.9039931
138,Sunday,west-highland,12:00:00,39.7623663,-105.0354945
139,Saturday,union-station,12:00:00,39.7591147,-105.0016434
140,Thursday,barnum,12:00:00,39.71828,-105.0319827
141,Friday,cbd,12:00:00,39.7436486,-104.9934177
142,Sunday,mar-lee,08:00:00,39.6855599,-105.0350292
143,Friday,dia,08:00:00,39.8373671,-104.7132236
144,Thursday,jefferson-park,08:00:00,39.7554198,-105.0201825
145,Sunday,five-points,08:00:00,39.7545403,-104.9892773
146,Friday,union-station,08:00:00,39.7509621,-104.9992225
147,Monday,university,12:00:00,39.6826624,-104.9650319
148,Monday,dia,12:00:00,39.8373592,-104.7112189
149,Sunday,hampden,08:00:00,39.6681618,-104.872373
150,Friday,baker,12:00:00,39.7211912,-104.998948
151,Tuesday,ruby-hill,12:00:00,39.6941707,-105.0005801
152,Saturday,berkeley,08:00:00,39.7696075,-105.0256778
153,Thursday,barnum,08:00:00,39.7115222,-105.0254164
154,Thursday,barnum,12:00:00,39.71828,-105.0319827
155,Wednesday,westwood,12:00:00,39.7024818,-105.0280898
156,Monday,hampden-south,12:00:00,39.6428666,-104.8854859
157,Thursday,montbello,08:00:00,39.7835016,-104.8483577
158,Tuesday,city-park-west,08:00:00,39.746177,-104.9618837
159,Wednesday,lincoln-park,12:00:00,39.7369979,-104.9988173
160,Saturday,montbello,12:00:00,39.7935889,-104.8142639
161,Sunday,north-capitol-hill,12:00:00,39.7402219,-104.9757479
162,Tuesday,college-view-south-platte,12:00:00,39.6775787,-105.0218977
163,Tuesday,berkeley,08:00:00,39.7828659,-105.0267871
164,Monday,hale,12:00:00,39.7323199,-104.9340289
165,Wednesday,dia,12:00:00,39.8213961,-104.7731746
166,Friday,harvey-park-south,16:00:00,39.6669886,-105.0256144
167,Wednesday,five-points,12:00:00,39.7545595,-104.9886405
168,Saturday,platt-park,12:00:00,39.6823589,-104.9806072
169,Monday,highland,08:00:00,39.7606807,-105.0064912
170,Tuesday,berkeley,16:00:00,39.7696331,-105.0313766
171,Friday,university-hills,16:00:00,39.6741926,-104.9401747
172,Wednesday,union-station,16:00:00,39.7512551,-104.99457199999999
173,Wednesday,villa-park,12:00:00,39.7288364,-105.0469125
174,Thursday,cherry-creek,08:00:00,39.7235593,-104.9530983
175,Tuesday,cherry-creek,12:00:00,39.7201104,-104.9470533
176,Thursday,villa-park,12:00:00,39.7288364,-105.0469125
177,Saturday,ruby-hill,12:00:00,39.6915339,-105.0133666
178,Tuesday,harvey-park,08:00:00,39.6775643,-105.0574861
179,Friday,sunnyside,12:00:00,39.7727933,-105.00663
180,Friday,cherry-creek,12:00:00,39.7201708,-104.9588588
181,Friday,civic-center,16:00:00,39.737154,-104.9923126
182,Friday,villa-park,08:00:00,39.7309889,-105.0294944
183,Friday,chaffee-park,08:00:00,39.7898987,-105.013196
184,Monday,university-hills,12:00:00,39.6788652,-104.9355862
185,Friday,capitol-hill,08:00:00,39.7285723,-104.97913799999999
186,Saturday,windsor,08:00:00,39.7028008,-104.8834505
187,Monday,washington-park,08:00:00,39.686916,-104.9604513
188,Tuesday,west-colfax,16:00:00,39.7429733,-105.0257157
189,Thursday,washington-park-west,12:00:00,39.69648,-104.9779333
190,Tuesday,gateway-green-valley-ranch,08:00:00,39.7714556,-104.7614506
191,Sunday,union-station,04:00:00,39.7486415,-104.9996694
192,Wednesday,virginia-village,12:00:00,39.6855069,-104.9391677
193,Thursday,northeast-park-hill,12:00:00,39.7666452,-104.9091315
194,Thursday,cbd,04:00:00,39.7433767,-104.9895826
195,Saturday,stapleton,08:00:00,39.7679757,-104.8651721
196,Tuesday,five-points,08:00:00,39.753743,-104.9833506
197,Tuesday,berkeley,12:00:00,39.7721293,-105.0322707
198,Friday,skyland,12:00:00,39.7605223,-104.9491178
199,Wednesday,harvey-park,08:00:00,39.6767198,-105.031535
200,Saturday,stapleton,12:00:00,39.7720485,-104.8454189
201,Tuesday,capitol-hill,08:00:00,39.7381165,-104.9819793
202,Friday,jefferson-park,08:00:00,39.755158,-105.0172571
203,Tuesday,goldsmith,12:00:00,39.676572,-104.9207327
204,Sunday,hampden,16:00:00,39.6646916,-104.8937987
205,Wednesday,stapleton,08:00:00,39.7724895,-104.8477201
206,Friday,cbd,04:00:00,39.7410351,-104.9940731
207,Wednesday,capitol-hill,12:00:00,39.7308377,-104.9855068
208,Friday,university-hills,16:00:00,39.676315,-104.9327716
209,Monday,cbd,08:00:00,39.7462352,-104.9948322
210,Thursday,lowry-field,12:00:00,39.722436,-104.8931042
211,Sunday,five-points,08:00:00,39.7591325,-104.9841076
212,Saturday,cole,08:00:00,39.7680596,-104.9691792
213,Friday,hampden,12:00:00,39.6535842,-104.9149876
214,Thursday,dia,12:00:00,39.8492917,-104.6738123
215,Thursday,speer,12:00:00,39.715988,-104.9860139
216,Wednesday,sunnyside,08:00:00,39.778746000000005,-105.0208341
217,Thursday,berkeley,12:00:00,39.7761559,-105.0272843
218,Friday,lowry-field,08:00:00,39.7123095,-104.8900993
219,Thursday,valverde,08:00:00,39.7163648,-105.0240364
220,Saturday,montbello,12:00:00,39.7744945,-104.8121915
221,Friday,platt-park,12:00:00,39.6875709,-104.9828001
222,Wednesday,montclair,08:00:00,39.7378867,-104.9065931
223,Sunday,hampden,12:00:00,39.6628844,-104.8862484
224,Tuesday,chaffee-park,12:00:00,39.7929571,-105.0226479
225,Monday,hale,12:00:00,39.7359464,-104.9289042
226,Thursday,villa-park,04:00:00,39.7255934,-105.0251363
227,Saturday,union-station,12:00:00,39.750903,-104.9956806
228,Thursday,montbello,12:00:00,39.7805903,-104.8417134
229,Saturday,five-points,12:00:00,39.7543805,-104.9878736
230,Tuesday,overland,12:00:00,39.6777022,-104.9879747
231,Monday,montbello,08:00:00,39.7781125,-104.8528197
232,Thursday,dia,08:00:00,39.8006527,-104.7682326
233,Thursday,lincoln-park,08:00:00,39.734744,-104.9955799
234,Friday,sun-valley,12:00:00,39.7321864,-105.018777
235,Thursday,capitol-hill,08:00:00,39.7301997,-104.9852377
