,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
107823,public-disorder,12:00:00,lincoln-park
321137,theft-from-motor-vehicle,12:00:00,stapleton
159262,public-disorder,16:00:00,cbd
276628,larceny,23:59:00,lincoln-park
486375,public-disorder,23:59:00,whittier
155007,all-other-crimes,04:00:00,harvey-park-south
132110,auto-theft,23:59:00,clayton
291543,larceny,16:00:00,baker
200862,public-disorder,20:00:00,cheesman-park
131406,other-crimes-against-persons,12:00:00,university-park
493515,all-other-crimes,16:00:00,civic-center
320506,theft-from-motor-vehicle,20:00:00,cory-merrill
234748,other-crimes-against-persons,20:00:00,gateway-green-valley-ranch
205182,larceny,20:00:00,stapleton
385049,aggravated-assault,23:59:00,west-colfax
169769,public-disorder,04:00:00,goldsmith
235356,all-other-crimes,20:00:00,five-points
49765,sexual-assault,04:00:00,washington-virginia-vale
379556,burglary,04:00:00,globeville
456731,drug-alcohol,20:00:00,westwood
6303,all-other-crimes,23:59:00,kennedy
474172,burglary,20:00:00,sloan-lake
372490,public-disorder,12:00:00,stapleton
336594,larceny,16:00:00,civic-center
148289,public-disorder,20:00:00,cheesman-park
414057,burglary,08:00:00,cheesman-park
368137,other-crimes-against-persons,04:00:00,capitol-hill
345115,other-crimes-against-persons,12:00:00,auraria
157208,public-disorder,23:59:00,sloan-lake
172743,all-other-crimes,16:00:00,windsor
52614,other-crimes-against-persons,20:00:00,villa-park
337881,all-other-crimes,12:00:00,lincoln-park
189588,other-crimes-against-persons,20:00:00,union-station
283777,theft-from-motor-vehicle,04:00:00,university-hills
202940,larceny,20:00:00,montbello
231963,larceny,16:00:00,university
472222,auto-theft,20:00:00,dia
441395,auto-theft,16:00:00,belcaro
56275,other-crimes-against-persons,16:00:00,barnum
3624,all-other-crimes,16:00:00,west-colfax
324319,larceny,16:00:00,hale
58251,theft-from-motor-vehicle,16:00:00,fort-logan
275066,burglary,23:59:00,five-points
312539,white-collar-crime,16:00:00,highland
503369,auto-theft,08:00:00,regis
289152,public-disorder,23:59:00,university-park
179483,all-other-crimes,16:00:00,five-points
318300,drug-alcohol,23:59:00,jefferson-park
88036,all-other-crimes,04:00:00,civic-center
484772,all-other-crimes,20:00:00,sunnyside
