,day_of_week,NEIGHBORHOOD_ID,TIME
17527,Tuesday,civic-center,16:00:00
48080,Saturday,stapleton,20:00:00
79430,Thursday,civic-center,08:00:00
46128,Sunday,baker,20:00:00
20962,Saturday,washington-virginia-vale,23:59:00
72694,Friday,harvey-park,12:00:00
48751,Friday,sunnyside,20:00:00
19481,Wednesday,overland,04:00:00
34768,Friday,villa-park,16:00:00
57543,Sunday,sun-valley,23:59:00
74123,Sunday,five-points,08:00:00
23633,Monday,civic-center,23:59:00
41778,Monday,capitol-hill,20:00:00
25449,Wednesday,west-colfax,23:59:00
82072,Tuesday,union-station,12:00:00
21047,Sunday,five-points,16:00:00
77618,Friday,sunnyside,08:00:00
17033,Saturday,mar-lee,20:00:00
88923,Wednesday,cheesman-park,04:00:00
79723,Tuesday,bear-valley,12:00:00
56114,Wednesday,capitol-hill,04:00:00
4719,Thursday,athmar-park,20:00:00
78981,Sunday,sun-valley,16:00:00
71208,Thursday,lowry-field,12:00:00
56649,Sunday,cole,23:59:00
43530,Tuesday,east-colfax,20:00:00
47154,Wednesday,overland,16:00:00
40596,Saturday,west-colfax,20:00:00
2358,Thursday,sun-valley,16:00:00
13409,Sunday,highland,20:00:00
60081,Friday,villa-park,23:59:00
655,Sunday,sun-valley,04:00:00
91443,Monday,whittier,12:00:00
39385,Tuesday,athmar-park,20:00:00
68559,Monday,five-points,12:00:00
20269,Saturday,west-highland,20:00:00
52683,Friday,five-points,16:00:00
10410,Saturday,barnum,16:00:00
76101,Wednesday,barnum-west,16:00:00
61550,Monday,east-colfax,16:00:00
81669,Saturday,westwood,04:00:00
44417,Wednesday,west-colfax,20:00:00
69243,Saturday,west-colfax,08:00:00
9874,Wednesday,union-station,20:00:00
94393,Tuesday,barnum-west,12:00:00
46809,Wednesday,windsor,16:00:00
52882,Friday,city-park-west,16:00:00
81508,Monday,hampden-south,16:00:00
64413,Friday,montbello,12:00:00
36863,Sunday,highland,04:00:00
70981,Saturday,east-colfax,04:00:00
79229,Friday,cole,04:00:00
90879,Wednesday,south-park-hill,12:00:00
66616,Tuesday,lincoln-park,12:00:00
36317,Tuesday,civic-center,23:59:00
26353,Friday,hale,16:00:00
69622,Wednesday,lincoln-park,04:00:00
35431,Wednesday,washington-virginia-vale,20:00:00
28023,Wednesday,valverde,23:59:00
85296,Thursday,east-colfax,12:00:00
92864,Thursday,union-station,16:00:00
86432,Wednesday,south-park-hill,12:00:00
67353,Monday,college-view-south-platte,12:00:00
41913,Friday,capitol-hill,20:00:00
27097,Tuesday,capitol-hill,23:59:00
46571,Friday,montbello,23:59:00
74831,Thursday,highland,12:00:00
24626,Tuesday,montbello,04:00:00
21143,Sunday,villa-park,20:00:00
27870,Saturday,ruby-hill,20:00:00
7142,Thursday,cheesman-park,16:00:00
70113,Saturday,union-station,12:00:00
47500,Wednesday,marston,23:59:00
26624,Thursday,baker,23:59:00
82419,Thursday,mar-lee,08:00:00
24386,Saturday,civic-center,20:00:00
250,Tuesday,five-points,20:00:00
32269,Tuesday,mar-lee,20:00:00
82075,Sunday,country-club,04:00:00
23720,Friday,west-colfax,23:59:00
51417,Friday,montbello,23:59:00
70784,Friday,regis,04:00:00
68533,Wednesday,kennedy,12:00:00
34555,Friday,athmar-park,23:59:00
51784,Wednesday,ruby-hill,20:00:00
29130,Sunday,hampden,20:00:00
54196,Saturday,gateway-green-valley-ranch,20:00:00
53693,Thursday,valverde,23:59:00
23481,Tuesday,city-park-west,23:59:00
31808,Saturday,cbd,04:00:00
76951,Thursday,dia,12:00:00
39144,Thursday,harvey-park,20:00:00
36755,Wednesday,stapleton,20:00:00
91209,Tuesday,five-points,12:00:00
59633,Thursday,stapleton,20:00:00
68529,Sunday,five-points,04:00:00
55537,Saturday,cole,20:00:00
10365,Wednesday,northeast-park-hill,04:00:00
89723,Wednesday,harvey-park,12:00:00
28084,Saturday,montbello,23:59:00
55798,Friday,auraria,20:00:00
45549,Tuesday,bear-valley,16:00:00
49063,Monday,east-colfax,20:00:00
24377,Tuesday,college-view-south-platte,20:00:00
71364,Sunday,cbd,16:00:00
90482,Saturday,goldsmith,12:00:00
89430,Tuesday,chaffee-park,12:00:00
23594,Thursday,elyria-swansea,16:00:00
68003,Thursday,highland,12:00:00
72632,Monday,valverde,12:00:00
11971,Friday,sunnyside,23:59:00
66585,Monday,civic-center,04:00:00
61659,Saturday,capitol-hill,04:00:00
22611,Thursday,harvey-park-south,20:00:00
54470,Friday,windsor,20:00:00
60752,Monday,mar-lee,23:59:00
53719,Friday,westwood,23:59:00
37279,Saturday,congress-park,16:00:00
88986,Saturday,washington-virginia-vale,04:00:00
90277,Friday,five-points,04:00:00
48345,Sunday,south-park-hill,20:00:00
55321,Wednesday,civic-center,23:59:00
34151,Saturday,ruby-hill,23:59:00
46700,Sunday,jefferson-park,20:00:00
36223,Monday,city-park-west,23:59:00
2753,Sunday,sloan-lake,23:59:00
41094,Wednesday,kennedy,16:00:00
92351,Friday,capitol-hill,16:00:00
55362,Sunday,west-colfax,23:59:00
11310,Friday,baker,16:00:00
86236,Thursday,valverde,12:00:00
14537,Monday,auraria,20:00:00
26114,Friday,montbello,23:59:00
47132,Tuesday,five-points,20:00:00
50984,Sunday,overland,20:00:00
268,Saturday,westwood,23:59:00
33805,Saturday,north-capitol-hill,23:59:00
26438,Thursday,civic-center,20:00:00
28592,Saturday,five-points,20:00:00
92169,Tuesday,city-park-west,08:00:00
62977,Saturday,ruby-hill,08:00:00
22760,Thursday,dia,20:00:00
75037,Tuesday,cbd,08:00:00
780,Friday,capitol-hill,23:59:00
65458,Saturday,east-colfax,04:00:00
38284,Tuesday,jefferson-park,16:00:00
85270,Wednesday,east-colfax,04:00:00
78669,Thursday,stapleton,12:00:00
67743,Sunday,city-park-west,04:00:00
77593,Sunday,westwood,04:00:00
69166,Wednesday,montbello,12:00:00
20545,Thursday,civic-center,16:00:00
37906,Monday,sun-valley,16:00:00
38711,Thursday,stapleton,20:00:00
27466,Sunday,east-colfax,20:00:00
33409,Thursday,capitol-hill,20:00:00
18815,Wednesday,barnum,23:59:00
31584,Monday,ruby-hill,23:59:00
52669,Wednesday,harvey-park,23:59:00
38132,Friday,belcaro,16:00:00
25490,Wednesday,dia,20:00:00
38474,Sunday,capitol-hill,23:59:00
69360,Tuesday,west-colfax,16:00:00
13744,Tuesday,highland,20:00:00
68047,Wednesday,cole,16:00:00
5174,Thursday,stapleton,20:00:00
43188,Saturday,college-view-south-platte,16:00:00
43131,Thursday,barnum,20:00:00
44491,Saturday,northeast-park-hill,20:00:00
27513,Tuesday,civic-center,16:00:00
47931,Wednesday,civic-center,23:59:00
57212,Sunday,montbello,20:00:00
42973,Monday,montclair,23:59:00
71456,Wednesday,lincoln-park,12:00:00
34473,Saturday,five-points,23:59:00
20517,Thursday,sloan-lake,23:59:00
44657,Thursday,barnum,16:00:00
77296,Wednesday,civic-center,04:00:00
2746,Wednesday,civic-center,23:59:00
26283,Tuesday,sunnyside,04:00:00
83006,Tuesday,cbd,12:00:00
80733,Saturday,globeville,04:00:00
63335,Friday,civic-center,08:00:00
41268,Thursday,capitol-hill,23:59:00
70154,Sunday,montclair,12:00:00
36324,Friday,hampden-south,20:00:00
52046,Monday,sloan-lake,23:59:00
68766,Friday,east-colfax,08:00:00
86679,Wednesday,city-park-west,12:00:00
14186,Thursday,cbd,20:00:00
1464,Wednesday,globeville,20:00:00
88960,Thursday,ruby-hill,04:00:00
27930,Sunday,bear-valley,16:00:00
88494,Monday,civic-center,08:00:00
33194,Tuesday,valverde,20:00:00
46903,Monday,capitol-hill,23:59:00
36705,Saturday,montbello,20:00:00
79830,Saturday,barnum-west,08:00:00
79454,Wednesday,cbd,12:00:00
28929,Friday,villa-park,23:59:00
63068,Thursday,skyland,12:00:00
18500,Friday,windsor,04:00:00
46595,Friday,five-points,20:00:00
37836,Saturday,auraria,16:00:00
34517,Wednesday,college-view-south-platte,04:00:00
9223,Monday,jefferson-park,23:59:00
9615,Thursday,capitol-hill,16:00:00
2587,Thursday,mar-lee,20:00:00
37784,Thursday,civic-center,04:00:00
23911,Thursday,washington-virginia-vale,23:59:00
24703,Sunday,west-colfax,16:00:00
20449,Monday,westwood,04:00:00
90407,Friday,cole,12:00:00
75294,Tuesday,north-capitol-hill,16:00:00
20641,Monday,harvey-park,16:00:00
2204,Monday,villa-park,20:00:00
52418,Friday,villa-park,16:00:00
66790,Thursday,civic-center,08:00:00
68849,Wednesday,civic-center,08:00:00
2866,Monday,east-colfax,16:00:00
12900,Wednesday,east-colfax,16:00:00
50859,Thursday,cbd,20:00:00
32202,Thursday,platt-park,16:00:00
25976,Monday,civic-center,16:00:00
28086,Tuesday,union-station,20:00:00
5985,Saturday,globeville,20:00:00
22400,Sunday,west-colfax,23:59:00
84876,Monday,civic-center,08:00:00
25646,Saturday,west-highland,23:59:00
78944,Wednesday,union-station,08:00:00
6932,Tuesday,civic-center,23:59:00
54199,Monday,berkeley,20:00:00
61483,Thursday,civic-center,08:00:00
92656,Sunday,union-station,04:00:00
16849,Monday,five-points,23:59:00
49845,Monday,stapleton,20:00:00
90608,Sunday,hale,16:00:00
6760,Sunday,cole,23:59:00
33455,Thursday,cbd,04:00:00
88450,Monday,sunnyside,08:00:00
32254,Friday,montbello,16:00:00
31325,Thursday,westwood,23:59:00
20186,Sunday,cole,20:00:00
65635,Monday,villa-park,12:00:00
92284,Monday,villa-park,16:00:00
55903,Saturday,cheesman-park,20:00:00
25189,Wednesday,sunnyside,16:00:00
66104,Thursday,gateway-green-valley-ranch,12:00:00
29224,Wednesday,union-station,16:00:00
11791,Saturday,five-points,20:00:00
48102,Thursday,montbello,23:59:00
5058,Friday,union-station,20:00:00
58590,Sunday,kennedy,23:59:00
86951,Tuesday,lincoln-park,04:00:00
60238,Monday,five-points,16:00:00
13975,Friday,globeville,23:59:00
72403,Monday,sloan-lake,04:00:00
205,Wednesday,capitol-hill,04:00:00
14641,Monday,gateway-green-valley-ranch,23:59:00
18442,Monday,skyland,20:00:00
