Monday,capitol-hill,16:00:00,other
Monday,capitol-hill,12:00:00,other
Monday,capitol-hill,04:00:00,other
Monday,capitol-hill,23:59:00,other
Monday,capitol-hill,08:00:00,other
Wednesday,capitol-hill,20:00:00,drug-alcohol
Wednesday,capitol-hill,16:00:00,drug-alcohol
Wednesday,capitol-hill,12:00:00,drug-alcohol
Wednesday,capitol-hill,04:00:00,other
Wednesday,capitol-hill,23:59:00,drug-alcohol
Wednesday,capitol-hill,08:00:00,other
Saturday,capitol-hill,20:00:00,other
Saturday,capitol-hill,16:00:00,other
Saturday,capitol-hill,12:00:00,other
Saturday,capitol-hill,04:00:00,other
Saturday,capitol-hill,23:59:00,other
Saturday,capitol-hill,08:00:00,other
Tuesday,capitol-hill,20:00:00,drug-alcohol
Tuesday,capitol-hill,16:00:00,drug-alcohol
Tuesday,capitol-hill,12:00:00,drug-alcohol
Tuesday,capitol-hill,04:00:00,other
Tuesday,capitol-hill,23:59:00,drug-alcohol
Tuesday,capitol-hill,08:00:00,other
Thursday,sloan-lake,20:00:00,property
Thursday,sloan-lake,16:00:00,property
Thursday,sloan-lake,12:00:00,property
Thursday,sloan-lake,04:00:00,property
Thursday,sloan-lake,23:59:00,other
Thursday,sloan-lake,08:00:00,property
Sunday,sloan-lake,20:00:00,property
Sunday,sloan-lake,16:00:00,property
Sunday,sloan-lake,12:00:00,property
Sunday,sloan-lake,04:00:00,property
Sunday,sloan-lake,23:59:00,other
Sunday,sloan-lake,08:00:00,property
Friday,sloan-lake,20:00:00,property
Friday,sloan-lake,16:00:00,property
Friday,sloan-lake,12:00:00,property
Friday,sloan-lake,04:00:00,property
Friday,sloan-lake,23:59:00,other
Friday,sloan-lake,08:00:00,property
Monday,sloan-lake,20:00:00,property
Monday,sloan-lake,16:00:00,property
Monday,sloan-lake,12:00:00,property
Monday,sloan-lake,04:00:00,property
Monday,sloan-lake,23:59:00,other
Monday,sloan-lake,08:00:00,property
Wednesday,sloan-lake,20:00:00,property
Wednesday,sloan-lake,16:00:00,property
Wednesday,sloan-lake,12:00:00,property
Wednesday,sloan-lake,04:00:00,property
Wednesday,sloan-lake,23:59:00,other
Wednesday,sloan-lake,08:00:00,property
Saturday,sloan-lake,20:00:00,property
Saturday,sloan-lake,16:00:00,property
Saturday,sloan-lake,12:00:00,property
Saturday,sloan-lake,04:00:00,property
Saturday,sloan-lake,23:59:00,other
Saturday,sloan-lake,08:00:00,property
Tuesday,sloan-lake,20:00:00,property
Tuesday,sloan-lake,16:00:00,property
Tuesday,sloan-lake,12:00:00,property
Tuesday,sloan-lake,04:00:00,property
Tuesday,sloan-lake,23:59:00,other
Tuesday,sloan-lake,08:00:00,property
Thursday,stapleton,20:00:00,property
Thursday,stapleton,16:00:00,property
Thursday,stapleton,12:00:00,property
Thursday,stapleton,04:00:00,property
Thursday,stapleton,23:59:00,other
Thursday,stapleton,08:00:00,property
Sunday,stapleton,20:00:00,property
Sunday,stapleton,16:00:00,property
Sunday,stapleton,12:00:00,property
Sunday,stapleton,04:00:00,property
Sunday,stapleton,23:59:00,other
Sunday,stapleton,08:00:00,property
Friday,stapleton,20:00:00,property
Friday,stapleton,16:00:00,property
Friday,stapleton,12:00:00,property
Friday,stapleton,04:00:00,property
Friday,stapleton,23:59:00,other
Friday,stapleton,08:00:00,property
Monday,stapleton,20:00:00,property
Monday,stapleton,16:00:00,property
Monday,stapleton,12:00:00,property
Monday,stapleton,04:00:00,property
Monday,stapleton,23:59:00,other
Monday,stapleton,08:00:00,property
Wednesday,stapleton,20:00:00,property
Wednesday,stapleton,16:00:00,property
Wednesday,stapleton,12:00:00,property
Wednesday,stapleton,04:00:00,property
Wednesday,stapleton,23:59:00,other
Wednesday,stapleton,08:00:00,property
Saturday,stapleton,20:00:00,property
Saturday,stapleton,16:00:00,property
Saturday,stapleton,12:00:00,property
Saturday,stapleton,04:00:00,property
Saturday,stapleton,23:59:00,other
Saturday,stapleton,08:00:00,property
Tuesday,stapleton,20:00:00,property
Tuesday,stapleton,16:00:00,property
Tuesday,stapleton,12:00:00,property
Tuesday,stapleton,04:00:00,property
Tuesday,stapleton,23:59:00,other
Tuesday,stapleton,08:00:00,property
Thursday,college-view-south-platte,20:00:00,drug-alcohol
Thursday,college-view-south-platte,16:00:00,drug-alcohol
Thursday,college-view-south-platte,12:00:00,other
Thursday,college-view-south-platte,04:00:00,property
Thursday,college-view-south-platte,23:59:00,other
Thursday,college-view-south-platte,08:00:00,property
Sunday,college-view-south-platte,20:00:00,other
Sunday,college-view-south-platte,16:00:00,other
Sunday,college-view-south-platte,12:00:00,other
Sunday,college-view-south-platte,04:00:00,other
Sunday,college-view-south-platte,23:59:00,other
Sunday,college-view-south-platte,08:00:00,property
Friday,college-view-south-platte,20:00:00,other
Friday,college-view-south-platte,16:00:00,other
Friday,college-view-south-platte,12:00:00,property
