,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
87972,robbery,23:59:00,baker
216076,theft-from-motor-vehicle,20:00:00,virginia-village
210634,public-disorder,04:00:00,city-park
446232,robbery,23:59:00,hampden-south
381391,all-other-crimes,16:00:00,east-colfax
25589,larceny,20:00:00,cbd
250470,all-other-crimes,20:00:00,marston
222832,all-other-crimes,20:00:00,gateway-green-valley-ranch
405929,white-collar-crime,08:00:00,west-highland
365932,public-disorder,23:59:00,gateway-green-valley-ranch
213823,larceny,16:00:00,lincoln-park
369,public-disorder,08:00:00,west-colfax
413016,theft-from-motor-vehicle,12:00:00,auraria
118508,theft-from-motor-vehicle,20:00:00,hilltop
380579,all-other-crimes,16:00:00,montclair
20618,drug-alcohol,12:00:00,capitol-hill
12932,public-disorder,12:00:00,civic-center
82965,all-other-crimes,16:00:00,highland
419921,all-other-crimes,23:59:00,athmar-park
375297,drug-alcohol,20:00:00,goldsmith
446920,all-other-crimes,16:00:00,civic-center
59990,theft-from-motor-vehicle,23:59:00,elyria-swansea
396210,other-crimes-against-persons,08:00:00,mar-lee
273186,auto-theft,20:00:00,west-colfax
26710,robbery,23:59:00,cory-merrill
434358,theft-from-motor-vehicle,16:00:00,dia
69883,larceny,12:00:00,north-park-hill
526868,larceny,12:00:00,north-capitol-hill
54136,other-crimes-against-persons,23:59:00,east-colfax
56380,public-disorder,20:00:00,cheesman-park
340161,theft-from-motor-vehicle,20:00:00,jefferson-park
435575,other-crimes-against-persons,16:00:00,capitol-hill
122573,all-other-crimes,12:00:00,north-capitol-hill
467844,larceny,16:00:00,harvey-park-south
46096,auto-theft,23:59:00,college-view-south-platte
321888,larceny,20:00:00,auraria
149911,theft-from-motor-vehicle,23:59:00,east-colfax
496297,theft-from-motor-vehicle,16:00:00,city-park-west
326589,theft-from-motor-vehicle,04:00:00,country-club
192966,all-other-crimes,23:59:00,goldsmith
437139,auto-theft,23:59:00,mar-lee
11136,all-other-crimes,04:00:00,cbd
229282,larceny,08:00:00,belcaro
141341,auto-theft,08:00:00,university-hills
243680,all-other-crimes,12:00:00,highland
24751,all-other-crimes,04:00:00,union-station
391641,all-other-crimes,16:00:00,overland
105376,larceny,12:00:00,civic-center
256833,aggravated-assault,20:00:00,five-points
65873,larceny,12:00:00,sun-valley
218437,burglary,20:00:00,speer
338213,public-disorder,04:00:00,north-park-hill
216522,auto-theft,23:59:00,west-highland
76120,drug-alcohol,20:00:00,five-points
30156,other-crimes-against-persons,04:00:00,gateway-green-valley-ranch
165274,all-other-crimes,12:00:00,overland
416182,public-disorder,23:59:00,five-points
104130,auto-theft,20:00:00,elyria-swansea
267263,all-other-crimes,16:00:00,stapleton
146617,all-other-crimes,20:00:00,east-colfax
290027,public-disorder,12:00:00,hampden
166337,other-crimes-against-persons,23:59:00,windsor
494236,auto-theft,23:59:00,washington-virginia-vale
277869,sexual-assault,20:00:00,auraria
430840,auto-theft,04:00:00,five-points
238502,all-other-crimes,20:00:00,city-park-west
37322,auto-theft,12:00:00,bear-valley
457166,burglary,23:59:00,rosedale
237796,drug-alcohol,16:00:00,five-points
122391,theft-from-motor-vehicle,04:00:00,mar-lee
382071,public-disorder,12:00:00,auraria
135198,theft-from-motor-vehicle,04:00:00,windsor
221199,public-disorder,12:00:00,university
508437,drug-alcohol,12:00:00,north-capitol-hill
78864,public-disorder,16:00:00,auraria
381009,larceny,16:00:00,highland
98415,larceny,12:00:00,mar-lee
289263,larceny,12:00:00,washington-park-west
359551,all-other-crimes,23:59:00,villa-park
437871,drug-alcohol,20:00:00,cbd
475367,auto-theft,20:00:00,baker
394166,theft-from-motor-vehicle,04:00:00,hampden
305908,public-disorder,04:00:00,sunnyside
212197,theft-from-motor-vehicle,23:59:00,cole
145563,theft-from-motor-vehicle,12:00:00,stapleton
408416,drug-alcohol,20:00:00,sun-valley
140482,public-disorder,20:00:00,goldsmith
300536,drug-alcohol,16:00:00,cbd
185274,burglary,08:00:00,southmoor-park
89795,theft-from-motor-vehicle,04:00:00,stapleton
110704,other-crimes-against-persons,23:59:00,speer
172344,sexual-assault,16:00:00,stapleton
370910,larceny,20:00:00,auraria
56418,drug-alcohol,16:00:00,capitol-hill
78630,public-disorder,20:00:00,north-capitol-hill
36524,all-other-crimes,16:00:00,westwood
508041,larceny,20:00:00,gateway-green-valley-ranch
331402,all-other-crimes,16:00:00,northeast-park-hill
406070,burglary,16:00:00,congress-park
226354,larceny,16:00:00,globeville
13426,drug-alcohol,12:00:00,villa-park
162472,other-crimes-against-persons,23:59:00,lowry-field
20246,all-other-crimes,23:59:00,union-station
208306,drug-alcohol,23:59:00,westwood
328161,aggravated-assault,12:00:00,five-points
80203,all-other-crimes,16:00:00,cheesman-park
327096,public-disorder,23:59:00,gateway-green-valley-ranch
424089,theft-from-motor-vehicle,23:59:00,virginia-village
352280,drug-alcohol,20:00:00,cheesman-park
384389,all-other-crimes,23:59:00,east-colfax
166351,all-other-crimes,23:59:00,civic-center
259586,burglary,16:00:00,washington-park-west
133415,theft-from-motor-vehicle,04:00:00,belcaro
334658,all-other-crimes,20:00:00,west-colfax
39203,all-other-crimes,20:00:00,east-colfax
123600,auto-theft,20:00:00,capitol-hill
150733,all-other-crimes,08:00:00,east-colfax
142406,theft-from-motor-vehicle,23:59:00,capitol-hill
123435,larceny,16:00:00,auraria
221323,larceny,20:00:00,lowry-field
95176,drug-alcohol,16:00:00,regis
215218,other-crimes-against-persons,20:00:00,windsor
456522,all-other-crimes,08:00:00,union-station
219781,public-disorder,20:00:00,ruby-hill
3550,public-disorder,16:00:00,stapleton
306555,robbery,12:00:00,villa-park
373589,aggravated-assault,16:00:00,sun-valley
253217,all-other-crimes,20:00:00,montbello
273569,public-disorder,16:00:00,stapleton
208413,other-crimes-against-persons,23:59:00,five-points
282455,all-other-crimes,23:59:00,cbd
302848,larceny,23:59:00,globeville
55365,public-disorder,20:00:00,gateway-green-valley-ranch
162463,all-other-crimes,20:00:00,westwood
294924,burglary,12:00:00,windsor
237042,aggravated-assault,16:00:00,montbello
350723,all-other-crimes,23:59:00,westwood
446982,public-disorder,12:00:00,city-park-west
207335,public-disorder,04:00:00,chaffee-park
259673,drug-alcohol,23:59:00,sun-valley
318830,burglary,08:00:00,washington-park
520120,larceny,20:00:00,civic-center
436315,larceny,20:00:00,baker
110876,drug-alcohol,16:00:00,northeast-park-hill
419051,larceny,16:00:00,harvey-park
204295,aggravated-assault,04:00:00,congress-park
508544,drug-alcohol,23:59:00,sloan-lake
443927,auto-theft,20:00:00,stapleton
368839,burglary,12:00:00,east-colfax
47142,other-crimes-against-persons,12:00:00,gateway-green-valley-ranch
335939,drug-alcohol,23:59:00,east-colfax
148719,other-crimes-against-persons,20:00:00,capitol-hill
409322,drug-alcohol,16:00:00,cbd
316117,other-crimes-against-persons,16:00:00,whittier
474051,all-other-crimes,16:00:00,civic-center
294375,white-collar-crime,16:00:00,cbd
298913,larceny,04:00:00,athmar-park
