,day_of_week,NEIGHBORHOOD_ID,TIME
90737,Friday,speer,23:59:00
132643,Tuesday,lowry-field,16:00:00
13178,Saturday,cory-merrill,08:00:00
24558,Friday,gateway-green-valley-ranch,08:00:00
122810,Friday,cbd,04:00:00
61583,Saturday,washington-virginia-vale,23:59:00
41397,Saturday,northeast-park-hill,16:00:00
72,Tuesday,belcaro,08:00:00
108718,Wednesday,cbd,20:00:00
86092,Tuesday,union-station,20:00:00
133294,Thursday,fort-logan,20:00:00
39249,Monday,stapleton,04:00:00
121518,Wednesday,stapleton,20:00:00
82192,Tuesday,capitol-hill,23:59:00
3872,Wednesday,globeville,12:00:00
4547,Thursday,villa-park,08:00:00
39735,Friday,five-points,08:00:00
5224,Saturday,overland,16:00:00
107156,Saturday,washington-park,23:59:00
44238,Saturday,washington-park,12:00:00
9304,Saturday,montbello,04:00:00
48047,Thursday,west-colfax,12:00:00
42620,Thursday,cbd,08:00:00
135363,Friday,hilltop,23:59:00
76239,Tuesday,fort-logan,23:59:00
24075,Saturday,barnum,08:00:00
56303,Tuesday,college-view-south-platte,23:59:00
14187,Saturday,hilltop,08:00:00
50356,Sunday,stapleton,08:00:00
134878,Friday,overland,23:59:00
43177,Sunday,bear-valley,12:00:00
132185,Monday,union-station,16:00:00
48249,Monday,city-park,16:00:00
115442,Thursday,clayton,20:00:00
49101,Thursday,montbello,12:00:00
39368,Friday,goldsmith,12:00:00
48307,Monday,city-park,12:00:00
107819,Saturday,athmar-park,20:00:00
27761,Thursday,hampden,12:00:00
115011,Monday,capitol-hill,04:00:00
4781,Thursday,montbello,12:00:00
61117,Monday,ruby-hill,23:59:00
12257,Saturday,ruby-hill,04:00:00
2663,Thursday,five-points,12:00:00
115020,Tuesday,west-highland,16:00:00
85736,Thursday,washington-park-west,04:00:00
51641,Tuesday,harvey-park-south,12:00:00
134460,Saturday,platt-park,20:00:00
114184,Wednesday,rosedale,20:00:00
47452,Thursday,virginia-village,12:00:00
30448,Tuesday,westwood,08:00:00
45894,Friday,sloan-lake,08:00:00
132064,Monday,stapleton,16:00:00
143111,Tuesday,capitol-hill,20:00:00
3425,Monday,gateway-green-valley-ranch,04:00:00
13919,Tuesday,globeville,12:00:00
137120,Thursday,lincoln-park,23:59:00
69292,Wednesday,athmar-park,20:00:00
98577,Tuesday,harvey-park-south,23:59:00
84748,Wednesday,union-station,20:00:00
132350,Friday,five-points,16:00:00
126952,Friday,washington-park-west,20:00:00
143631,Monday,hampden,23:59:00
137947,Saturday,west-colfax,20:00:00
59239,Friday,west-highland,23:59:00
22282,Tuesday,university-hills,08:00:00
51143,Wednesday,washington-park-west,12:00:00
133030,Sunday,globeville,23:59:00
72989,Saturday,lowry-field,16:00:00
76415,Friday,windsor,23:59:00
83417,Thursday,hampden-south,23:59:00
8574,Wednesday,ruby-hill,12:00:00
37754,Wednesday,whittier,04:00:00
71801,Wednesday,montbello,16:00:00
142044,Sunday,washington-virginia-vale,23:59:00
48360,Wednesday,barnum,08:00:00
34082,Friday,highland,16:00:00
130934,Wednesday,westwood,23:59:00
89983,Thursday,west-colfax,16:00:00
19066,Wednesday,dia,08:00:00
24187,Saturday,cole,04:00:00
47114,Wednesday,bear-valley,12:00:00
55260,Tuesday,elyria-swansea,16:00:00
262,Sunday,goldsmith,08:00:00
29280,Tuesday,chaffee-park,12:00:00
81356,Tuesday,gateway-green-valley-ranch,16:00:00
117279,Wednesday,union-station,23:59:00
33062,Tuesday,westwood,08:00:00
136929,Monday,harvey-park,23:59:00
76628,Thursday,cole,20:00:00
69601,Monday,jefferson-park,16:00:00
46738,Monday,south-park-hill,12:00:00
28039,Sunday,five-points,12:00:00
6795,Wednesday,chaffee-park,16:00:00
130116,Monday,montclair,16:00:00
23713,Wednesday,city-park-west,12:00:00
98057,Monday,stapleton,16:00:00
111032,Sunday,platt-park,23:59:00
10634,Thursday,sunnyside,08:00:00
63881,Wednesday,stapleton,23:59:00
12107,Wednesday,montbello,08:00:00
85456,Sunday,north-park-hill,23:59:00
46400,Monday,montbello,08:00:00
54649,Wednesday,west-colfax,16:00:00
140471,Thursday,cole,23:59:00
34161,Thursday,jefferson-park,08:00:00
4888,Monday,five-points,12:00:00
93424,Wednesday,montclair,16:00:00
74878,Friday,cbd,04:00:00
142015,Friday,barnum,23:59:00
117625,Wednesday,university-park,20:00:00
85349,Monday,south-park-hill,16:00:00
23278,Sunday,platt-park,04:00:00
141372,Thursday,south-park-hill,23:59:00
4060,Wednesday,university,04:00:00
128116,Monday,gateway-green-valley-ranch,20:00:00
20138,Saturday,five-points,04:00:00
78483,Sunday,stapleton,23:59:00
22515,Sunday,washington-virginia-vale,16:00:00
127158,Tuesday,north-capitol-hill,20:00:00
39059,Thursday,hale,12:00:00
22054,Monday,westwood,08:00:00
71601,Thursday,auraria,20:00:00
83910,Wednesday,jefferson-park,04:00:00
109010,Tuesday,lincoln-park,23:59:00
88729,Friday,highland,23:59:00
88388,Wednesday,west-highland,20:00:00
138765,Wednesday,globeville,04:00:00
30884,Monday,stapleton,12:00:00
135148,Friday,five-points,23:59:00
131115,Friday,villa-park,20:00:00
76611,Tuesday,sunnyside,04:00:00
27352,Tuesday,gateway-green-valley-ranch,08:00:00
67610,Wednesday,five-points,16:00:00
30231,Friday,five-points,16:00:00
3438,Sunday,congress-park,12:00:00
11614,Sunday,west-colfax,08:00:00
9690,Tuesday,cbd,12:00:00
73138,Tuesday,hampden-south,20:00:00
31029,Friday,speer,12:00:00
17859,Tuesday,baker,08:00:00
81021,Saturday,stapleton,16:00:00
39655,Monday,cory-merrill,12:00:00
64583,Friday,speer,04:00:00
130504,Tuesday,ruby-hill,20:00:00
136451,Sunday,lowry-field,23:59:00
61015,Sunday,windsor,23:59:00
52714,Tuesday,clayton,12:00:00
131130,Saturday,five-points,16:00:00
124015,Saturday,baker,20:00:00
9903,Friday,gateway-green-valley-ranch,04:00:00
120366,Thursday,dia,16:00:00
71255,Thursday,cbd,16:00:00
124777,Friday,five-points,23:59:00
43630,Sunday,hampden-south,04:00:00
109956,Wednesday,hampden-south,04:00:00
18297,Sunday,jefferson-park,12:00:00
142996,Wednesday,west-colfax,04:00:00
55218,Saturday,windsor,16:00:00
35789,Sunday,highland,12:00:00
60679,Thursday,northeast-park-hill,23:59:00
10424,Sunday,highland,12:00:00
48957,Thursday,university-park,12:00:00
37954,Thursday,globeville,08:00:00
107831,Wednesday,lincoln-park,20:00:00
35228,Sunday,elyria-swansea,04:00:00
115301,Monday,montclair,16:00:00
28645,Saturday,capitol-hill,04:00:00
130479,Friday,capitol-hill,16:00:00
117994,Sunday,lowry-field,16:00:00
12356,Tuesday,rosedale,12:00:00
117854,Monday,stapleton,04:00:00
58967,Saturday,cherry-creek,16:00:00
123298,Friday,five-points,20:00:00
90502,Sunday,city-park-west,20:00:00
102334,Sunday,highland,04:00:00
107722,Tuesday,five-points,20:00:00
140828,Saturday,westwood,23:59:00
132571,Wednesday,hampden,20:00:00
130643,Monday,capitol-hill,16:00:00
128778,Sunday,marston,20:00:00
97986,Monday,rosedale,04:00:00
2913,Tuesday,civic-center,12:00:00
97640,Friday,hale,23:59:00
4723,Tuesday,union-station,12:00:00
136416,Saturday,westwood,20:00:00
143343,Wednesday,stapleton,23:59:00
80145,Sunday,fort-logan,23:59:00
42859,Monday,elyria-swansea,16:00:00
15299,Thursday,cbd,12:00:00
8031,Wednesday,athmar-park,12:00:00
25001,Thursday,dia,08:00:00
92239,Wednesday,regis,20:00:00
125537,Thursday,hale,16:00:00
91162,Monday,washington-park-west,20:00:00
109633,Saturday,ruby-hill,23:59:00
128717,Thursday,speer,23:59:00
92466,Tuesday,five-points,16:00:00
138196,Wednesday,montbello,20:00:00
95781,Tuesday,east-colfax,20:00:00
70578,Saturday,hampden,16:00:00
48675,Saturday,union-station,12:00:00
70098,Saturday,southmoor-park,23:59:00
30627,Tuesday,washington-park-west,12:00:00
120892,Saturday,five-points,16:00:00
90794,Thursday,gateway-green-valley-ranch,23:59:00
90177,Thursday,east-colfax,23:59:00
138904,Wednesday,highland,04:00:00
42901,Friday,mar-lee,04:00:00
129931,Monday,berkeley,20:00:00
34193,Monday,barnum-west,08:00:00
54157,Wednesday,highland,16:00:00
92812,Friday,west-colfax,16:00:00
83610,Thursday,cole,20:00:00
148015,Sunday,five-points,04:00:00
38358,Monday,jefferson-park,12:00:00
41144,Friday,university,12:00:00
125927,Thursday,university,16:00:00
128879,Thursday,northeast-park-hill,16:00:00
12211,Wednesday,cbd,04:00:00
124136,Thursday,lincoln-park,20:00:00
106181,Friday,lincoln-park,23:59:00
107670,Tuesday,sunnyside,20:00:00
23468,Friday,washington-virginia-vale,04:00:00
136925,Friday,bear-valley,16:00:00
107390,Saturday,harvey-park-south,20:00:00
117023,Saturday,montbello,23:59:00
89870,Saturday,capitol-hill,23:59:00
4798,Wednesday,five-points,08:00:00
133166,Sunday,valverde,16:00:00
47715,Tuesday,five-points,08:00:00
73671,Monday,marston,20:00:00
120269,Saturday,cbd,16:00:00
145056,Wednesday,north-park-hill,20:00:00
61919,Friday,belcaro,20:00:00
116707,Friday,mar-lee,20:00:00
106155,Monday,capitol-hill,23:59:00
74701,Friday,college-view-south-platte,23:59:00
140396,Saturday,berkeley,20:00:00
122515,Monday,hampden,20:00:00
82484,Sunday,cherry-creek,20:00:00
16611,Friday,west-highland,08:00:00
62753,Tuesday,north-capitol-hill,23:59:00
92038,Sunday,clayton,23:59:00
28037,Tuesday,college-view-south-platte,12:00:00
139002,Thursday,gateway-green-valley-ranch,16:00:00
111564,Thursday,lowry-field,16:00:00
50651,Monday,civic-center,08:00:00
83039,Monday,congress-park,23:59:00
36989,Thursday,university-park,08:00:00
55704,Friday,south-park-hill,20:00:00
69926,Sunday,stapleton,16:00:00
97065,Friday,gateway-green-valley-ranch,23:59:00
102752,Wednesday,washington-virginia-vale,20:00:00
96141,Tuesday,sunnyside,16:00:00
102086,Friday,overland,16:00:00
51120,Thursday,capitol-hill,04:00:00
74419,Sunday,mar-lee,20:00:00
82750,Wednesday,city-park-west,23:59:00
123873,Friday,overland,20:00:00
81238,Wednesday,cherry-creek,16:00:00
144667,Monday,montbello,20:00:00
106424,Tuesday,barnum,20:00:00
39502,Saturday,hampden,12:00:00
99651,Wednesday,south-park-hill,16:00:00
22988,Friday,west-colfax,04:00:00
114006,Monday,stapleton,16:00:00
96368,Thursday,college-view-south-platte,20:00:00
8165,Tuesday,montbello,12:00:00
145401,Tuesday,cbd,16:00:00
99154,Sunday,harvey-park,23:59:00
131261,Monday,cory-merrill,20:00:00
24516,Sunday,north-capitol-hill,04:00:00
73767,Monday,athmar-park,16:00:00
115329,Sunday,south-park-hill,20:00:00
44617,Thursday,north-capitol-hill,12:00:00
101373,Friday,cbd,04:00:00
103495,Friday,ruby-hill,16:00:00
9647,Tuesday,sunnyside,12:00:00
32427,Thursday,rosedale,08:00:00
87738,Thursday,baker,20:00:00
142353,Thursday,northeast-park-hill,23:59:00
9677,Sunday,five-points,12:00:00
3846,Wednesday,westwood,12:00:00
