,day_of_week,NEIGHBORHOOD_ID,TIME
978,Wednesday,highland,12:00:00
4942,Sunday,kennedy,23:59:00
2978,Friday,montbello,23:59:00
3469,Sunday,windsor,23:59:00
3247,Monday,gateway-green-valley-ranch,20:00:00
2189,Monday,hampden,08:00:00
3176,Wednesday,stapleton,20:00:00
2204,Friday,lincoln-park,12:00:00
1886,Saturday,congress-park,04:00:00
5656,Wednesday,platt-park,20:00:00
1938,Wednesday,washington-park-west,04:00:00
140,Wednesday,east-colfax,12:00:00
4866,Friday,union-station,16:00:00
6198,Tuesday,five-points,23:59:00
4351,Wednesday,five-points,20:00:00
2710,Monday,union-station,04:00:00
6001,Sunday,capitol-hill,20:00:00
6519,Sunday,hale,20:00:00
2755,Friday,barnum-west,08:00:00
2386,Saturday,highland,04:00:00
2140,Thursday,virginia-village,16:00:00
6317,Friday,city-park,23:59:00
3813,Wednesday,montbello,23:59:00
1920,Sunday,capitol-hill,04:00:00
3430,Monday,hampden-south,20:00:00
3310,Friday,westwood,23:59:00
5613,Friday,hampden,23:59:00
2547,Friday,five-points,04:00:00
2079,Tuesday,five-points,08:00:00
3999,Tuesday,five-points,23:59:00
6071,Wednesday,cheesman-park,04:00:00
4787,Thursday,stapleton,20:00:00
3739,Monday,westwood,23:59:00
5283,Sunday,five-points,20:00:00
701,Tuesday,cbd,12:00:00
2128,Friday,capitol-hill,04:00:00
3510,Sunday,northeast-park-hill,16:00:00
1694,Saturday,lincoln-park,08:00:00
4712,Saturday,auraria,23:59:00
36,Monday,northeast-park-hill,12:00:00
4380,Saturday,south-park-hill,23:59:00
284,Sunday,valverde,04:00:00
4449,Monday,east-colfax,23:59:00
1858,Wednesday,college-view-south-platte,12:00:00
3625,Saturday,union-station,23:59:00
1177,Thursday,baker,04:00:00
228,Saturday,five-points,08:00:00
1696,Friday,overland,12:00:00
2031,Wednesday,city-park-west,04:00:00
6122,Wednesday,washington-park,20:00:00
1325,Monday,cheesman-park,16:00:00
153,Wednesday,northeast-park-hill,04:00:00
2836,Monday,hale,23:59:00
4260,Saturday,speer,20:00:00
5474,Friday,westwood,20:00:00
1270,Sunday,east-colfax,04:00:00
1031,Friday,lincoln-park,12:00:00
3190,Sunday,baker,20:00:00
254,Thursday,baker,04:00:00
2464,Thursday,barnum,08:00:00
5291,Wednesday,cbd,16:00:00
4874,Wednesday,athmar-park,20:00:00
4863,Saturday,westwood,20:00:00
2647,Sunday,five-points,16:00:00
6784,Sunday,cherry-creek,20:00:00
6793,Monday,speer,04:00:00
6194,Friday,dia,16:00:00
5281,Tuesday,university,20:00:00
1981,Tuesday,five-points,12:00:00
672,Sunday,montclair,12:00:00
4617,Monday,five-points,23:59:00
2971,Monday,bear-valley,20:00:00
525,Wednesday,gateway-green-valley-ranch,16:00:00
3000,Tuesday,harvey-park,20:00:00
2317,Monday,stapleton,12:00:00
3080,Friday,harvey-park-south,16:00:00
4387,Thursday,hampden,23:59:00
3083,Wednesday,five-points,23:59:00
2928,Saturday,lincoln-park,23:59:00
6594,Friday,westwood,20:00:00
5424,Monday,north-capitol-hill,20:00:00
3544,Friday,stapleton,04:00:00
706,Sunday,college-view-south-platte,04:00:00
6451,Saturday,westwood,20:00:00
3422,Monday,north-capitol-hill,20:00:00
6540,Sunday,washington-virginia-vale,20:00:00
886,Friday,five-points,12:00:00
6290,Friday,five-points,23:59:00
4610,Friday,congress-park,20:00:00
3606,Tuesday,sunnyside,23:59:00
3506,Sunday,city-park-west,23:59:00
5146,Thursday,chaffee-park,04:00:00
4127,Saturday,five-points,20:00:00
1616,Sunday,east-colfax,04:00:00
854,Saturday,montclair,04:00:00
1785,Friday,congress-park,04:00:00
858,Wednesday,five-points,12:00:00
4901,Wednesday,valverde,20:00:00
6488,Saturday,city-park-west,23:59:00
2937,Tuesday,montbello,20:00:00
2192,Sunday,baker,12:00:00
1955,Wednesday,five-points,04:00:00
4029,Wednesday,montbello,16:00:00
3891,Saturday,capitol-hill,20:00:00
3526,Tuesday,hampden,20:00:00
558,Monday,cheesman-park,12:00:00
7028,Thursday,montclair,16:00:00
4782,Sunday,cbd,23:59:00
4066,Thursday,montbello,23:59:00
4407,Sunday,washington-virginia-vale,20:00:00
2674,Wednesday,college-view-south-platte,04:00:00
703,Sunday,north-capitol-hill,04:00:00
5058,Friday,mar-lee,20:00:00
196,Saturday,montbello,12:00:00
5991,Saturday,gateway-green-valley-ranch,23:59:00
6611,Thursday,cbd,20:00:00
6907,Wednesday,northeast-park-hill,20:00:00
1889,Saturday,city-park-west,04:00:00
3030,Sunday,cory-merrill,16:00:00
2452,Tuesday,congress-park,12:00:00
619,Friday,capitol-hill,08:00:00
4865,Friday,cbd,20:00:00
2175,Monday,washington-virginia-vale,12:00:00
1005,Saturday,cbd,16:00:00
6879,Friday,washington-virginia-vale,23:59:00
2780,Monday,hampden-south,20:00:00
7034,Friday,barnum,20:00:00
259,Wednesday,baker,04:00:00
3494,Sunday,capitol-hill,23:59:00
6701,Thursday,east-colfax,23:59:00
3718,Saturday,montbello,20:00:00
4605,Monday,goldsmith,04:00:00
3329,Wednesday,clayton,20:00:00
3033,Saturday,city-park-west,16:00:00
4966,Friday,gateway-green-valley-ranch,20:00:00
1876,Monday,hale,12:00:00
3975,Thursday,city-park,16:00:00
2607,Saturday,windsor,08:00:00
5692,Tuesday,barnum,16:00:00
5515,Sunday,capitol-hill,20:00:00
47,Saturday,goldsmith,16:00:00
6650,Wednesday,cherry-creek,20:00:00
737,Friday,harvey-park-south,04:00:00
1527,Wednesday,college-view-south-platte,12:00:00
4741,Wednesday,five-points,23:59:00
3206,Thursday,lincoln-park,20:00:00
2911,Tuesday,college-view-south-platte,20:00:00
887,Friday,montbello,12:00:00
6859,Saturday,globeville,16:00:00
1303,Sunday,dia,08:00:00
5843,Tuesday,gateway-green-valley-ranch,20:00:00
563,Monday,cole,12:00:00
1032,Tuesday,hampden,04:00:00
922,Sunday,montbello,04:00:00
975,Sunday,north-capitol-hill,04:00:00
3456,Wednesday,five-points,23:59:00
1767,Saturday,athmar-park,12:00:00
2602,Friday,berkeley,04:00:00
3320,Wednesday,westwood,20:00:00
1073,Monday,villa-park,16:00:00
4860,Friday,harvey-park,20:00:00
3791,Thursday,montbello,20:00:00
6802,Friday,hampden-south,04:00:00
6204,Saturday,mar-lee,04:00:00
