,OFFENSE_CATEGORY_ID,TIME,NEIGHBORHOOD_ID
338765,murder,23:59:00,elyria-swansea
46303,aggravated-assault,23:59:00,stapleton
249270,drug-alcohol,20:00:00,valverde
245039,larceny,20:00:00,cbd
507856,public-disorder,23:59:00,montclair
120019,theft-from-motor-vehicle,12:00:00,stapleton
155931,all-other-crimes,23:59:00,elyria-swansea
376874,aggravated-assault,16:00:00,lincoln-park
417569,other-crimes-against-persons,16:00:00,gateway-green-valley-ranch
214623,drug-alcohol,20:00:00,cbd
114,all-other-crimes,20:00:00,sloan-lake
394406,public-disorder,23:59:00,west-colfax
225605,all-other-crimes,20:00:00,civic-center
207662,larceny,20:00:00,union-station
334335,burglary,04:00:00,hampden-south
442904,public-disorder,23:59:00,university-park
227861,burglary,20:00:00,west-colfax
134708,larceny,16:00:00,capitol-hill
6212,public-disorder,23:59:00,goldsmith
101065,auto-theft,16:00:00,cbd
294640,all-other-crimes,04:00:00,university-hills
20615,public-disorder,20:00:00,washington-park-west
421332,all-other-crimes,20:00:00,west-colfax
390635,drug-alcohol,23:59:00,capitol-hill
369525,drug-alcohol,12:00:00,sunnyside
103155,public-disorder,20:00:00,stapleton
10910,all-other-crimes,16:00:00,dia
477575,other-crimes-against-persons,23:59:00,sun-valley
475631,drug-alcohol,08:00:00,five-points
138959,public-disorder,20:00:00,hampden-south
419431,all-other-crimes,04:00:00,cbd
322237,public-disorder,12:00:00,kennedy
1110,public-disorder,16:00:00,auraria
522700,all-other-crimes,20:00:00,dia
242818,all-other-crimes,20:00:00,montbello
174475,burglary,23:59:00,barnum
490290,all-other-crimes,12:00:00,cbd
140466,larceny,20:00:00,gateway-green-valley-ranch
88638,aggravated-assault,16:00:00,montclair
384043,theft-from-motor-vehicle,04:00:00,congress-park
399344,auto-theft,23:59:00,westwood
279702,public-disorder,16:00:00,cbd
406816,public-disorder,20:00:00,montclair
326112,other-crimes-against-persons,12:00:00,marston
26000,all-other-crimes,23:59:00,civic-center
27075,all-other-crimes,23:59:00,five-points
316257,drug-alcohol,23:59:00,westwood
54564,public-disorder,23:59:00,cbd
425684,public-disorder,12:00:00,west-highland
245984,all-other-crimes,08:00:00,dia
313996,public-disorder,23:59:00,dia
329598,all-other-crimes,16:00:00,west-colfax
100856,auto-theft,20:00:00,washington-park
317085,larceny,20:00:00,regis
501030,drug-alcohol,16:00:00,hampden-south
314268,all-other-crimes,16:00:00,cheesman-park
371306,public-disorder,16:00:00,northeast-park-hill
418721,larceny,12:00:00,montclair
165990,theft-from-motor-vehicle,16:00:00,jefferson-park
274140,all-other-crimes,08:00:00,cbd
181180,larceny,12:00:00,north-park-hill
237212,burglary,20:00:00,five-points
156991,all-other-crimes,12:00:00,whittier
429207,public-disorder,12:00:00,capitol-hill
175571,drug-alcohol,04:00:00,lincoln-park
310268,all-other-crimes,12:00:00,windsor
85886,all-other-crimes,20:00:00,capitol-hill
307650,burglary,16:00:00,west-highland
412435,public-disorder,04:00:00,five-points
520083,other-crimes-against-persons,23:59:00,sun-valley
362370,drug-alcohol,23:59:00,cbd
386913,auto-theft,08:00:00,bear-valley
114244,public-disorder,16:00:00,elyria-swansea
250680,public-disorder,04:00:00,hampden-south
182591,all-other-crimes,16:00:00,montbello
216226,larceny,20:00:00,west-colfax
474513,all-other-crimes,08:00:00,capitol-hill
23043,larceny,12:00:00,university
472747,public-disorder,12:00:00,montbello
397134,drug-alcohol,20:00:00,westwood
50165,white-collar-crime,20:00:00,civic-center
275868,all-other-crimes,12:00:00,montbello
103618,all-other-crimes,04:00:00,montclair
416448,burglary,16:00:00,university-hills
37553,public-disorder,08:00:00,montbello
176007,theft-from-motor-vehicle,16:00:00,university-park
313634,drug-alcohol,16:00:00,lincoln-park
311985,all-other-crimes,20:00:00,barnum
21790,all-other-crimes,04:00:00,stapleton
442041,other-crimes-against-persons,08:00:00,union-station
340961,public-disorder,23:59:00,city-park
419346,public-disorder,23:59:00,five-points
275997,auto-theft,20:00:00,cbd
488899,public-disorder,12:00:00,cheesman-park
462764,all-other-crimes,23:59:00,villa-park
156122,all-other-crimes,23:59:00,east-colfax
281029,burglary,20:00:00,gateway-green-valley-ranch
321781,larceny,20:00:00,stapleton
27730,all-other-crimes,16:00:00,sun-valley
376995,drug-alcohol,16:00:00,cbd
410144,burglary,20:00:00,city-park-west
416867,all-other-crimes,12:00:00,stapleton
298931,auto-theft,16:00:00,montclair
400619,public-disorder,23:59:00,east-colfax
