,day_of_week,NEIGHBORHOOD_ID,TIME,GEO_LAT,GEO_LON
100,Friday,barnum,16:00:00,39.7165655,-105.0336969
101,Thursday,capitol-hill,12:00:00,39.7400317,-104.9730966
102,Saturday,montbello,04:00:00,39.7787755,-104.8324086
103,Friday,cheesman-park,12:00:00,39.738557,-104.9693278
104,Friday,city-park-west,12:00:00,39.7461326,-104.9714682
105,Sunday,west-colfax,04:00:00,39.7382922,-105.0522421
106,Friday,union-station,04:00:00,39.7522995,-105.0038721
107,Tuesday,capitol-hill,12:00:00,39.7400317,-104.9730966
108,Sunday,cheesman-park,04:00:00,39.7399562,-104.9715859
109,Saturday,civic-center,08:00:00,39.7397729,-104.9935737
110,Sunday,montbello,08:00:00,39.7770357,-104.8457423
111,Tuesday,cbd,12:00:00,39.7465306,-104.9939481
112,Friday,ruby-hill,04:00:00,39.694161,-105.0186717
113,Saturday,stapleton,16:00:00,39.7570089,-104.8657942
114,Sunday,hampden-south,04:00:00,39.6530609,-104.8814224
115,Thursday,five-points,16:00:00,39.7548395,-104.9898975
116,Friday,capitol-hill,08:00:00,39.7348013,-104.9803718
117,Sunday,cbd,12:00:00,39.74329,-104.9898535
118,Sunday,auraria,04:00:00,39.7439273,-105.0086681
119,Thursday,lincoln-park,04:00:00,39.7403255,-105.0139491
120,Sunday,jefferson-park,04:00:00,39.7574841,-105.0235261
121,Wednesday,five-points,08:00:00,39.7491294,-104.9798602
122,Friday,east-colfax,12:00:00,39.7398565,-104.8854788
123,Sunday,auraria,04:00:00,39.7439273,-105.0086681
124,Wednesday,barnum,12:00:00,39.7167523,-105.025477
125,Wednesday,skyland,12:00:00,39.7607361,-104.9573257
126,Sunday,westwood,04:00:00,39.711209999999994,-105.0324564
127,Monday,gateway-green-valley-ranch,16:00:00,39.7983839,-104.7863786
128,Tuesday,capitol-hill,12:00:00,39.7400317,-104.9730966
129,Sunday,north-capitol-hill,12:00:00,39.7405053,-104.9852048
130,Sunday,westwood,04:00:00,39.711209999999994,-105.0324564
131,Sunday,harvey-park,04:00:00,39.6797223,-105.0431543
132,Friday,dia,08:00:00,39.8492917,-104.6738123
133,Sunday,north-capitol-hill,12:00:00,39.7405053,-104.9852048
134,Tuesday,south-park-hill,12:00:00,39.7404246,-104.9041215
135,Monday,civic-center,12:00:00,39.7398975,-104.987485
136,Monday,civic-center,12:00:00,39.7398975,-104.987485
137,Tuesday,five-points,16:00:00,39.7566297,-104.9893261
138,Monday,highland,12:00:00,39.7692869,-105.0005893
139,Friday,ruby-hill,04:00:00,39.694161,-105.0186717
140,Monday,jefferson-park,12:00:00,39.7556664,-105.0160408
141,Tuesday,five-points,04:00:00,39.7513189,-104.9864733
142,Monday,civic-center,12:00:00,39.7398975,-104.987485
143,Monday,sun-valley,12:00:00,39.7345765,-105.0205207
144,Monday,montbello,12:00:00,39.7823878,-104.8470124
145,Monday,cory-merrill,16:00:00,39.696077,-104.9410413
146,Sunday,five-points,04:00:00,39.7551953,-104.9883762
147,Sunday,jefferson-park,08:00:00,39.7513199,-105.0165296
148,Saturday,civic-center,08:00:00,39.7397729,-104.9935737
149,Monday,west-colfax,16:00:00,39.7367586,-105.0532261
150,Saturday,auraria,16:00:00,39.7501376,-105.0048512
151,Saturday,montbello,04:00:00,39.7787755,-104.8324086
152,Saturday,sloan-lake,04:00:00,39.7584017,-105.0523804
153,Monday,capitol-hill,12:00:00,39.7400317,-104.9730966
154,Monday,cory-merrill,16:00:00,39.696077,-104.9410413
155,Monday,montbello,12:00:00,39.7823878,-104.8470124
156,Sunday,west-colfax,08:00:00,39.7406715,-105.0512774
157,Monday,lincoln-park,16:00:00,39.7368929,-105.0103886
158,Saturday,east-colfax,16:00:00,39.7400038,-104.8926997
159,Monday,north-capitol-hill,12:00:00,39.7408439,-104.9798149
160,Saturday,civic-center,12:00:00,39.7322531,-104.9915374
161,Friday,east-colfax,12:00:00,39.7388636,-104.8867036
162,Sunday,capitol-hill,12:00:00,39.7392362,-104.9862773
163,Friday,cheesman-park,12:00:00,39.7400108,-104.9684633
164,Friday,capitol-hill,08:00:00,39.7398829,-104.9797687
165,Friday,east-colfax,12:00:00,39.7388636,-104.8867036
166,Monday,harvey-park,04:00:00,39.6818754,-105.03357199999999
167,Sunday,westwood,04:00:00,39.7021062,-105.0513712
168,Wednesday,five-points,12:00:00,39.7480841,-104.9775385
169,Saturday,hilltop,16:00:00,39.7250471,-104.9044406
170,Tuesday,five-points,12:00:00,39.747494,-104.9775642
171,Wednesday,cole,08:00:00,39.7693725,-104.9663019
172,Wednesday,capitol-hill,12:00:00,39.7392243,-104.9798198
173,Saturday,north-capitol-hill,04:00:00,39.7401437,-104.9803997
174,Monday,barnum,04:00:00,39.7252127,-105.0335967
175,Tuesday,east-colfax,12:00:00,39.7398378,-104.8913783
176,Friday,globeville,12:00:00,39.7767982,-104.9785021
177,Sunday,capitol-hill,04:00:00,39.7399377,-104.9772685
178,Saturday,valverde,04:00:00,39.7236321,-105.0248403
179,Sunday,sunnyside,04:00:00,39.774856,-105.0016667
180,Saturday,westwood,04:00:00,39.7004332,-105.0532477
181,Tuesday,capitol-hill,12:00:00,39.7383558,-104.9796129
182,Tuesday,capitol-hill,12:00:00,39.7400317,-104.9730966
183,Friday,civic-center,08:00:00,39.7375179,-104.9882243
184,Tuesday,city-park-west,12:00:00,39.7407574,-104.9733152
185,Wednesday,harvey-park-south,04:00:00,39.6562753,-105.0497852
186,Saturday,lincoln-park,04:00:00,39.7265097,-104.9927487
187,Friday,country-club,12:00:00,39.7290284,-104.9645325
188,Saturday,rosedale,12:00:00,39.6782193,-104.9869335
189,Friday,globeville,12:00:00,39.7720035,-104.990075
190,Sunday,east-colfax,04:00:00,39.7398543,-104.8887503
191,Tuesday,five-points,12:00:00,39.7541882,-104.9891198
192,Saturday,barnum,04:00:00,39.7229297,-105.03248500000001
193,Tuesday,globeville,12:00:00,39.785624,-104.9910434
194,Saturday,mar-lee,16:00:00,39.6890698,-105.0257565
195,Friday,cheesman-park,12:00:00,39.7400108,-104.9684633
196,Monday,washington-virginia-vale,12:00:00,39.7034536,-104.9172659
197,Saturday,mar-lee,12:00:00,39.6956423,-105.04456100000002
198,Sunday,sun-valley,16:00:00,39.7356042,-105.0234791
199,Wednesday,five-points,12:00:00,39.7519908,-104.9769546
200,Wednesday,berkeley,08:00:00,39.7780951,-105.0528595
201,Wednesday,capitol-hill,12:00:00,39.7399044,-104.9833992
202,Wednesday,congress-park,04:00:00,39.729116999999995,-104.9439922
203,Tuesday,city-park-west,12:00:00,39.7407574,-104.9733152
204,Tuesday,five-points,12:00:00,39.748490000000004,-104.9780654
205,Wednesday,ruby-hill,12:00:00,39.6857829,-105.0062361
206,Thursday,westwood,16:00:00,39.7103045,-105.0298144
207,Tuesday,sunnyside,12:00:00,39.7806804,-105.0033794
208,Tuesday,cheesman-park,12:00:00,39.7400246,-104.9696901
209,Tuesday,cole,12:00:00,39.764431,-104.9668802
210,Tuesday,cole,12:00:00,39.7635085,-104.9729558
211,Sunday,ruby-hill,04:00:00,39.6967494,-105.0192261
212,Sunday,gateway-green-valley-ranch,08:00:00,39.7982986,-104.7697804
213,Saturday,montbello,12:00:00,39.7803447,-104.8098498
214,Wednesday,cheesman-park,12:00:00,39.7387819,-104.9656457
215,Wednesday,harvey-park,04:00:00,39.6822695,-105.0250386
216,Sunday,civic-center,04:00:00,39.7383783,-104.9922966
217,Saturday,montbello,12:00:00,39.7803447,-104.8098498
218,Wednesday,cole,12:00:00,39.7693693,-104.9661988
219,Friday,lincoln-park,12:00:00,39.731349,-104.9945199
220,Friday,platt-park,12:00:00,39.6885454,-104.9784152
221,Friday,east-colfax,12:00:00,39.7388636,-104.8867036
222,Friday,athmar-park,12:00:00,39.7111786,-105.0145242
223,Saturday,capitol-hill,12:00:00,39.7400317,-104.9730966
224,Friday,five-points,12:00:00,39.748490000000004,-104.9780654
225,Monday,stapleton,16:00:00,39.7676155,-104.9023074
226,Saturday,overland,04:00:00,39.6784503,-104.9933589
227,Saturday,washington-virginia-vale,16:00:00,39.6945632,-104.9033773
228,Saturday,civic-center,12:00:00,39.7299762,-104.9906543
229,Friday,rosedale,16:00:00,39.6692027,-104.9873475
230,Friday,capitol-hill,16:00:00,39.7392381,-104.9867147
231,Thursday,bear-valley,12:00:00,39.660672999999996,-105.0583917
232,Wednesday,civic-center,12:00:00,39.7397729,-104.9935737
233,Sunday,chaffee-park,04:00:00,39.786535,-105.0251184
234,Monday,westwood,16:00:00,39.7021192,-105.0412386
235,Wednesday,university,08:00:00,39.6826624,-104.9650319
236,Sunday,villa-park,16:00:00,39.7330709,-105.0486807
237,Saturday,union-station,04:00:00,39.7480217,-105.0004598
238,Saturday,civic-center,12:00:00,39.7398975,-104.987485
239,Friday,north-capitol-hill,04:00:00,39.7408439,-104.9798149
240,Thursday,mar-lee,12:00:00,39.6890698,-105.0257565
241,Friday,north-capitol-hill,04:00:00,39.7401437,-104.9803997
242,Wednesday,civic-center,12:00:00,39.7398975,-104.987485
243,Thursday,north-capitol-hill,08:00:00,39.7425341,-104.9796032
244,Thursday,hampden,12:00:00,39.6595532,-104.89291599999999
245,Friday,five-points,16:00:00,39.7559667,-104.9777643
246,Wednesday,north-capitol-hill,08:00:00,39.740845,-104.9794238
247,Thursday,union-station,04:00:00,39.7543669,-105.0065534
248,Thursday,capitol-hill,04:00:00,39.7398594,-104.9751035
249,Wednesday,civic-center,08:00:00,39.7401024,-104.9980803
250,Wednesday,athmar-park,08:00:00,39.6985119,-105.0246444
251,Saturday,stapleton,04:00:00,39.7568836,-104.856359
252,Wednesday,city-park-west,12:00:00,39.7424372,-104.9683596
253,Saturday,union-station,04:00:00,39.7480217,-105.0004598
254,Wednesday,villa-park,12:00:00,39.7336494,-105.0344047
255,Wednesday,elyria-swansea,12:00:00,39.7788973,-104.9440847
256,Wednesday,villa-park,12:00:00,39.7336494,-105.0344047
257,Monday,union-station,16:00:00,39.7534838,-104.99766799999999
258,Friday,civic-center,08:00:00,39.7368557,-104.9957212
259,Friday,hale,08:00:00,39.7362104,-104.931832
260,Sunday,civic-center,12:00:00,39.7398975,-104.987485
261,Friday,cheesman-park,12:00:00,39.7399996,-104.9647688
262,Thursday,montbello,12:00:00,39.7857036,-104.8259803
263,Tuesday,five-points,12:00:00,39.7541882,-104.9891198
264,Wednesday,university-park,04:00:00,39.6763602,-104.9574735
265,Sunday,windsor,12:00:00,39.6990994,-104.9003215
266,Sunday,kennedy,04:00:00,39.6529845,-104.8701468
267,Friday,hilltop,12:00:00,39.7237024,-104.9351685
268,Tuesday,university,12:00:00,39.6826624,-104.9650319
269,Wednesday,city-park-west,12:00:00,39.7424372,-104.9683596
270,Wednesday,stapleton,12:00:00,39.7710857,-104.8470359
271,Monday,elyria-swansea,16:00:00,39.7719822,-104.9697258
272,Friday,whittier,12:00:00,39.7532292,-104.9708848
273,Tuesday,bear-valley,12:00:00,39.660672999999996,-105.0583917
274,Tuesday,capitol-hill,12:00:00,39.7399097,-104.9821155
275,Wednesday,cole,08:00:00,39.7711017,-104.9650116
276,Friday,villa-park,16:00:00,39.7295057,-105.0532439
277,Sunday,cory-merrill,16:00:00,39.696077,-104.9410413
278,Monday,ruby-hill,04:00:00,39.6964853,-105.0097998
279,Thursday,elyria-swansea,12:00:00,39.7811423,-104.9713893
280,Friday,auraria,04:00:00,39.7458593,-105.0026267
281,Thursday,jefferson-park,12:00:00,39.7556664,-105.0160408
282,Thursday,lincoln-park,12:00:00,39.7404354,-105.0139661
283,Friday,bear-valley,12:00:00,39.6571724,-105.0532211
284,Saturday,valverde,04:00:00,39.7113582,-105.0016805
285,Saturday,baker,04:00:00,39.7255856,-104.989833
286,Tuesday,east-colfax,12:00:00,39.7400038,-104.8926997
287,Tuesday,east-colfax,12:00:00,39.7400038,-104.8926997
288,Tuesday,cheesman-park,12:00:00,39.7386028,-104.9728122
289,Thursday,west-colfax,12:00:00,39.7371885,-105.0372969
290,Wednesday,north-capitol-hill,12:00:00,39.7419466,-104.9827049
291,Friday,civic-center,08:00:00,39.7277278,-104.9881357
292,Saturday,university,16:00:00,39.6784846,-104.967572
293,Thursday,five-points,12:00:00,39.7480841,-104.9775385
294,Friday,five-points,12:00:00,39.75994,-104.9816829
295,Thursday,rosedale,12:00:00,39.6749671,-104.985927
296,Friday,five-points,08:00:00,39.7512366,-104.9858657
297,Thursday,capitol-hill,12:00:00,39.7399561,-104.9807994
298,Friday,capitol-hill,04:00:00,39.7362577,-104.9813175
299,Saturday,civic-center,16:00:00,39.7346773,-104.9877863
300,Friday,cole,12:00:00,39.7626097,-104.9696651
301,Tuesday,congress-park,12:00:00,39.739907,-104.9436364
302,Wednesday,belcaro,16:00:00,39.698378999999996,-104.9407458
303,Saturday,cbd,08:00:00,39.7455914,-104.9951534
304,Saturday,capitol-hill,08:00:00,39.738661,-104.9753898
305,Friday,union-station,12:00:00,39.7541307,-105.0019527
306,Wednesday,cbd,12:00:00,39.7402328,-104.9919951
307,Friday,east-colfax,12:00:00,39.7404556,-104.8866399
308,Thursday,jefferson-park,12:00:00,39.7556664,-105.0160408
309,Friday,union-station,12:00:00,39.7541307,-105.0019527
310,Tuesday,five-points,12:00:00,39.748490000000004,-104.9780654
311,Tuesday,hale,12:00:00,39.7392035,-104.9405767
312,Saturday,regis,08:00:00,39.7874634,-105.025226
313,Sunday,bear-valley,08:00:00,39.6597672,-105.0672878
314,Friday,college-view-south-platte,12:00:00,39.6666203,-105.0180791
315,Tuesday,globeville,12:00:00,39.7775581,-104.98274099999999
