,day_of_week,NEIGHBORHOOD_ID,TIME
5800,Friday,jefferson-park,04:00:00
1275,Monday,southmoor-park,12:00:00
2741,Monday,washington-virginia-vale,08:00:00
6463,Friday,dia,20:00:00
6377,Tuesday,bear-valley,04:00:00
4903,Wednesday,southmoor-park,04:00:00
6912,Monday,hampden-south,16:00:00
6773,Friday,globeville,20:00:00
5581,Monday,northeast-park-hill,16:00:00
5083,Thursday,five-points,23:59:00
2548,Monday,elyria-swansea,12:00:00
452,Friday,windsor,08:00:00
3948,Thursday,cbd,20:00:00
2635,Wednesday,cory-merrill,04:00:00
1007,Friday,cherry-creek,12:00:00
1490,Wednesday,auraria,08:00:00
6780,Tuesday,west-colfax,20:00:00
7061,Friday,dia,16:00:00
950,Tuesday,harvey-park-south,12:00:00
6168,Monday,dia,23:59:00
1807,Tuesday,skyland,12:00:00
2518,Monday,hampden-south,08:00:00
2297,Thursday,cbd,12:00:00
897,Friday,montbello,12:00:00
6804,Saturday,gateway-green-valley-ranch,23:59:00
1493,Wednesday,lincoln-park,12:00:00
26,Saturday,montbello,08:00:00
142,Sunday,mar-lee,08:00:00
6329,Friday,lincoln-park,16:00:00
2600,Monday,highland,12:00:00
3756,Friday,cherry-creek,16:00:00
6121,Friday,barnum-west,20:00:00
72,Thursday,goldsmith,12:00:00
794,Tuesday,indian-creek,08:00:00
4111,Thursday,dia,04:00:00
7204,Thursday,lincoln-park,16:00:00
305,Wednesday,cherry-creek,12:00:00
3651,Thursday,northeast-park-hill,04:00:00
4898,Friday,windsor,04:00:00
2785,Saturday,lincoln-park,12:00:00
650,Saturday,southmoor-park,12:00:00
1149,Wednesday,five-points,08:00:00
3849,Friday,virginia-village,04:00:00
3873,Thursday,montbello,20:00:00
3080,Wednesday,hampden,04:00:00
3655,Tuesday,elyria-swansea,16:00:00
5320,Thursday,cory-merrill,04:00:00
3196,Wednesday,university-park,20:00:00
4572,Thursday,cbd,16:00:00
2677,Friday,south-park-hill,16:00:00
3359,Wednesday,cbd,20:00:00
4027,Thursday,athmar-park,04:00:00
5207,Tuesday,east-colfax,16:00:00
3999,Monday,hampden-south,20:00:00
6422,Wednesday,southmoor-park,04:00:00
6386,Tuesday,gateway-green-valley-ranch,20:00:00
6269,Sunday,gateway-green-valley-ranch,16:00:00
555,Wednesday,sunnyside,04:00:00
1080,Wednesday,windsor,12:00:00
6916,Friday,cbd,04:00:00
4603,Tuesday,college-view-south-platte,04:00:00
534,Thursday,dia,12:00:00
3982,Monday,union-station,16:00:00
6200,Friday,stapleton,16:00:00
6631,Wednesday,university-hills,16:00:00
5631,Sunday,westwood,20:00:00
1886,Monday,montbello,12:00:00
1135,Friday,speer,12:00:00
2237,Friday,sun-valley,08:00:00
5704,Thursday,stapleton,16:00:00
2347,Wednesday,west-highland,08:00:00
2030,Monday,hampden-south,12:00:00
5005,Saturday,hampden-south,16:00:00
5754,Wednesday,montbello,04:00:00
530,Tuesday,chaffee-park,12:00:00
1724,Wednesday,cbd,04:00:00
5580,Thursday,speer,16:00:00
4929,Thursday,dia,16:00:00
6534,Friday,lowry-field,16:00:00
1691,Thursday,goldsmith,12:00:00
7111,Friday,elyria-swansea,20:00:00
6249,Tuesday,highland,04:00:00
3023,Monday,hampden-south,04:00:00
309,Monday,north-capitol-hill,16:00:00
3614,Saturday,cory-merrill,16:00:00
909,Monday,cbd,12:00:00
1298,Wednesday,west-highland,12:00:00
3253,Friday,five-points,04:00:00
4581,Monday,dia,23:59:00
1917,Wednesday,gateway-green-valley-ranch,08:00:00
5371,Saturday,mar-lee,20:00:00
810,Friday,elyria-swansea,12:00:00
7096,Wednesday,cherry-creek,16:00:00
2847,Friday,baker,12:00:00
3018,Tuesday,five-points,12:00:00
665,Monday,lowry-field,08:00:00
5570,Tuesday,south-park-hill,04:00:00
3282,Friday,stapleton,16:00:00
207,Wednesday,capitol-hill,12:00:00
1607,Wednesday,north-capitol-hill,12:00:00
6644,Wednesday,windsor,20:00:00
3179,Thursday,cbd,16:00:00
6607,Friday,dia,23:59:00
406,Wednesday,westwood,12:00:00
1896,Wednesday,five-points,12:00:00
503,Sunday,harvey-park,08:00:00
3988,Tuesday,berkeley,23:59:00
2178,Monday,highland,12:00:00
5724,Thursday,college-view-south-platte,16:00:00
2948,Friday,five-points,12:00:00
6594,Wednesday,cbd,23:59:00
3659,Saturday,virginia-village,16:00:00
3267,Wednesday,dia,23:59:00
514,Saturday,baker,08:00:00
4670,Tuesday,dia,20:00:00
5014,Sunday,stapleton,23:59:00
2575,Tuesday,university-hills,16:00:00
3323,Tuesday,union-station,04:00:00
7115,Friday,east-colfax,16:00:00
4362,Thursday,lowry-field,16:00:00
5775,Saturday,capitol-hill,16:00:00
4089,Wednesday,university,16:00:00
531,Friday,college-view-south-platte,12:00:00
616,Wednesday,northeast-park-hill,04:00:00
5706,Wednesday,clayton,20:00:00
4793,Wednesday,cbd,04:00:00
2766,Thursday,stapleton,12:00:00
5424,Tuesday,belcaro,04:00:00
6137,Wednesday,north-park-hill,04:00:00
985,Wednesday,north-capitol-hill,12:00:00
6027,Wednesday,five-points,20:00:00
6311,Monday,northeast-park-hill,20:00:00
5067,Tuesday,windsor,20:00:00
1102,Sunday,westwood,08:00:00
3051,Wednesday,washington-park,16:00:00
750,Thursday,sloan-lake,12:00:00
5790,Thursday,university,16:00:00
3329,Saturday,cherry-creek,16:00:00
2848,Friday,stapleton,12:00:00
6627,Monday,northeast-park-hill,04:00:00
1475,Saturday,south-park-hill,12:00:00
7138,Sunday,civic-center,23:59:00
4126,Friday,dia,16:00:00
5274,Friday,hampden,20:00:00
5788,Friday,mar-lee,23:59:00
4289,Sunday,cbd,20:00:00
1582,Tuesday,highland,08:00:00
48,Friday,highland,12:00:00
21,Tuesday,west-highland,04:00:00
7017,Sunday,hale,16:00:00
3098,Friday,barnum-west,20:00:00
3317,Thursday,hampden-south,20:00:00
3965,Friday,cherry-creek,20:00:00
857,Friday,sunnyside,16:00:00
4410,Tuesday,west-colfax,16:00:00
3593,Thursday,gateway-green-valley-ranch,04:00:00
5289,Friday,cbd,16:00:00
747,Monday,hilltop,08:00:00
4367,Friday,five-points,20:00:00
4315,Thursday,platt-park,04:00:00
874,Monday,northeast-park-hill,08:00:00
4617,Monday,lincoln-park,16:00:00
5061,Sunday,north-capitol-hill,20:00:00
2656,Friday,dia,12:00:00
881,Monday,capitol-hill,16:00:00
3904,Tuesday,platt-park,04:00:00
3183,Thursday,college-view-south-platte,16:00:00
1435,Friday,clayton,08:00:00
3959,Saturday,globeville,20:00:00
4127,Monday,kennedy,04:00:00
3833,Monday,westwood,16:00:00
3532,Monday,hampden,16:00:00
6905,Friday,dia,16:00:00
4987,Wednesday,mar-lee,16:00:00
1892,Tuesday,windsor,12:00:00
5291,Thursday,hampden-south,20:00:00
631,Wednesday,five-points,08:00:00
4515,Thursday,windsor,20:00:00
478,Tuesday,hilltop,12:00:00
2516,Friday,congress-park,12:00:00
4520,Monday,lowry-field,04:00:00
2278,Sunday,mar-lee,08:00:00
4023,Saturday,sloan-lake,04:00:00
1563,Thursday,congress-park,12:00:00
1292,Wednesday,virginia-village,12:00:00
470,Tuesday,west-highland,12:00:00
4176,Friday,northeast-park-hill,16:00:00
2619,Monday,chaffee-park,12:00:00
3947,Saturday,university-park,16:00:00
4191,Thursday,montbello,20:00:00
6315,Friday,baker,16:00:00
6738,Tuesday,marston,04:00:00
6141,Friday,dia,16:00:00
2330,Wednesday,cherry-creek,08:00:00
1836,Sunday,westwood,04:00:00
4116,Thursday,dia,20:00:00
3118,Friday,dia,20:00:00
3723,Tuesday,lowry-field,16:00:00
6949,Sunday,civic-center,20:00:00
3644,Wednesday,capitol-hill,20:00:00
3831,Saturday,five-points,23:59:00
1252,Monday,northeast-park-hill,08:00:00
4024,Monday,university-hills,16:00:00
3247,Wednesday,harvey-park,04:00:00
3911,Saturday,hilltop,20:00:00
2626,Wednesday,athmar-park,12:00:00
3944,Wednesday,hilltop,16:00:00
3665,Wednesday,northeast-park-hill,20:00:00
5509,Thursday,windsor,20:00:00
6274,Saturday,valverde,04:00:00
6500,Wednesday,west-highland,04:00:00
5697,Friday,sunnyside,16:00:00
1407,Friday,valverde,12:00:00
5394,Saturday,stapleton,16:00:00
5000,Sunday,sun-valley,23:59:00
2337,Sunday,lincoln-park,08:00:00
4528,Saturday,auraria,20:00:00
3300,Friday,lincoln-park,04:00:00
4030,Wednesday,gateway-green-valley-ranch,16:00:00
2895,Tuesday,speer,12:00:00
4554,Friday,dia,23:59:00
1438,Wednesday,dia,04:00:00
3132,Friday,harvey-park-south,16:00:00
706,Monday,washington-park,08:00:00
6261,Tuesday,cherry-creek,20:00:00
